Quarter,Time,Tm,Detail,HOU,WAS
1,9:37,Redskins,Graham Gano 41 yard field goal,0,3
,5:48,Redskins,Graham Gano 27 yard field goal,0,6
2,14:56,Texans,Jacoby Jones 5 yard pass from Matt Schaub (Neil Rackers kick),7,6
,12:29,Redskins,Clinton Portis 1 yard rush (Graham Gano kick),7,13
,1:20,Redskins,Clinton Portis 1 yard rush (Graham Gano kick),7,20
3,9:22,Texans,Neil Rackers 47 yard field goal,10,20
,3:51,Redskins,Chris Cooley 22 yard pass from Donovan McNabb (Graham Gano kick),10,27
,0:00,Texans,Kevin Walter 6 yard pass from Matt Schaub (Neil Rackers kick),17,27
4,11:10,Texans,Neil Rackers 43 yard field goal,20,27
,2:03,Texans,Andre Johnson 34 yard pass from Matt Schaub (Neil Rackers kick),27,27
OT,3:24,Texans,Neil Rackers 35 yard field goal,30,27
