Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 63 yards, returned by Ryan Moats for 23 yards (tackle by Jermaine Phillips)",0.000,0.940
1,14:53,1,10,PHI 30,0,0,Donovan McNabb pass incomplete short left intended for Matt Schobel,0.940,0.390
1,14:47,2,10,PHI 30,0,0,Brian Westbrook middle for 5 yards (tackle by Shelton Quarles),0.390,0.370
1,14:07,3,5,PHI 35,0,0,Donovan McNabb pass complete short left to Brian Westbrook for 5 yards (tackle by Shelton Quarles and Ryan Nece),0.370,1.600
1,13:16,1,10,PHI 40,0,0,Brian Westbrook middle for 9 yards (tackle by Shelton Quarles),1.600,2.270
1,12:41,2,1,PHI 49,0,0,Donovan McNabb pass complete short left to Brian Westbrook for 13 yards (tackle by Ronde Barber),2.270,3.050
1,12:12,1,10,TAM 38,0,0,Donovan McNabb pass complete short middle to L.J. Smith for 12 yards (tackle by Shelton Quarles),3.050,3.840
1,11:36,1,10,TAM 26,0,0,Correll Buckhalter middle for 2 yards (tackle by Ronde Barber and Shelton Quarles),3.840,3.570
1,10:51,2,8,TAM 24,0,0,"Penalty on PHI: False Start, 5 yards (no play)",3.570,2.890
1,10:29,2,13,TAM 29,0,0,"Donovan McNabb pass complete short middle to Jason Avant for 9 yards (tackle by Ronde Barber). Jason Avant fumbles (forced by Ronde Barber), recovered by Torrie Cox at TAM-19 (tackle by Brian Westbrook)",2.890,-0.150
1,10:14,1,10,TAM 19,0,0,Cadillac Williams middle for -1 yards (tackle by Matt McCoy),0.150,-0.560
1,9:39,2,11,TAM 18,0,0,Cadillac Williams middle for 5 yards (tackle by Trent Cole),-0.560,-0.550
,,,,,,,"TAM challenged the ruling, and the original play was overturned.",,
1,9:06,3,6,TAM 23,0,0,Cadillac Williams left end for 7 yards (tackle by Trent Cole and Shawn Barber),-0.550,0.940
1,8:24,1,10,TAM 30,0,0,Bruce Gradkowski pass incomplete short right intended for Joey Galloway,0.940,0.390
1,8:20,2,10,TAM 30,0,0,Bruce Gradkowski pass incomplete short middle intended for Michael Clayton (defended by Darwin Walker),0.390,-0.300
1,8:16,3,10,TAM 30,0,0,Bruce Gradkowski pass complete short middle to Michael Pittman for 8 yards (tackle by Shawn Barber),-0.300,-0.850
1,7:44,4,2,TAM 38,0,0,"Josh Bidwell punts 38 yards, fair catch by Dexter Wynn. Penalty on Jason Short: Offensive Holding, 10 yards",-0.850,0.280
1,7:33,1,10,PHI 14,0,0,Brian Westbrook middle for 1 yard (tackle by Jermaine Phillips and Derrick Brooks),-0.280,-0.640
1,6:50,2,9,PHI 15,0,0,Brian Westbrook middle for 5 yards (tackle by Derrick Brooks),-0.640,-0.680
1,6:10,3,4,PHI 20,0,0,Donovan McNabb pass incomplete short middle intended for Brian Westbrook,-0.680,-2.030
1,6:02,4,4,PHI 20,0,0,"Dirk Johnson punts 52 yards, returned by Phillip Buchanon for 8 yards (tackle by Quintin Mikell)",-2.030,-1.330
1,5:50,1,10,TAM 36,0,0,Cadillac Williams right end for 3 yards (tackle by Jeremiah Trotter),1.330,1.200
1,5:50,2,7,TAM 39,0,0,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",1.200,0.520
1,4:57,2,12,TAM 34,0,0,Cadillac Williams middle for 3 yards (tackle by Jeremiah Trotter),0.520,0.230
1,4:14,3,9,TAM 37,0,0,Bruce Gradkowski pass incomplete short right intended for Joey Galloway,0.230,-0.910
1,4:11,4,9,TAM 37,0,0,"Josh Bidwell punts 52 yards, returned by Dexter Wynn for 15 yards (tackle by Dewayne White)",-0.910,-0.670
1,3:59,1,10,PHI 26,0,0,Donovan McNabb pass complete deep left to Reggie Brown for 41 yards (tackle by Ronde Barber),0.670,3.380
1,3:15,1,10,TAM 33,0,0,Correll Buckhalter left guard for 2 yards (tackle by Ryan Nece and Will Allen),3.380,3.110
1,2:38,2,8,TAM 31,0,0,Donovan McNabb pass incomplete short right intended for Reggie Brown is intercepted by Juran Bolden at TAM-20 and returned for 27 yards,3.110,-2.060
1,2:29,1,10,TAM 47,0,0,"Bruce Gradkowski sacked by Darwin Walker for -14 yards. Bruce Gradkowski fumbles, recovered by Bruce Gradkowski at TAM-43",2.060,0.170
1,1:40,2,20,TAM 37,0,0,Cadillac Williams left end for -4 yards (tackle by Sean Considine),0.170,-1.020
1,1:10,3,24,TAM 33,0,0,Michael Pittman middle for 10 yards (tackle by Omar Gaither),-1.020,-0.520
1,0:37,4,14,TAM 43,0,0,"Josh Bidwell punts 33 yards, fair catch by Dexter Wynn. Penalty on Juqua Parker: Offensive Holding, 10 yards",-0.520,0.280
1,0:29,1,10,PHI 14,0,0,Donovan McNabb pass incomplete short middle intended for L.J. Smith,-0.280,-0.750
1,0:23,2,10,PHI 14,0,0,Donovan McNabb pass complete short right to Hank Baskett for 13 yards (tackle by Ronde Barber),-0.750,0.740
Quarter,Time,Down,ToGo,Location,PHI,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,PHI 27,0,0,Donovan McNabb pass incomplete short middle intended for L.J. Smith,0.740,0.200
2,14:56,2,10,PHI 27,0,0,Correll Buckhalter middle for 6 yards (tackle by Ellis Wyms and Jermaine Phillips),0.200,0.300
2,14:13,3,4,PHI 33,0,6,"Donovan McNabb pass incomplete short middle intended for Hank Baskett is intercepted by Ronde Barber at PHI-37 and returned for 37 yards, touchdown",0.300,-7.000
2,,,,PHI 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
