Unnamed: 0,PHI,TAM
First Downs,22,14
Rush-Yds-TDs,27-208-0,30-111-0
Cmp-Att-Yd-TD-INT,22-35-302-3-3,13-26-104-0-0
Sacked-Yards,1-4,2-19
Net Pass Yards,298,85
Total Yards,506,196
Fumbles-Lost,2-1,1-0
Turnovers,4,0
Penalties-Yards,7-65,2-15
Third Down Conv.,7-11,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,28:59,31:01
