Unnamed: 0,TEN,BUF
First Downs,15,18
Rush-Yds-TDs,25-100-0,43-144-1
Cmp-Att-Yd-TD-INT,14-26-129-0-1,10-20-82-0-1
Sacked-Yards,2-8,1-3
Net Pass Yards,121,79
Total Yards,221,223
Fumbles-Lost,3-2,0-0
Turnovers,3,1
Penalties-Yards,5-40,4-30
Third Down Conv.,6-12,4-13
Fourth Down Conv.,0-0,2-3
Time of Possession,26:11,33:49
