Quarter,Time,Tm,Detail,TEN,BUF
1.0,9:03,Bills,Josh Allen 14 yard rush (Stephen Hauschka kick),0,7
,1:35,Titans,Ryan Succop 25 yard field goal,3,7
2.0,0:00,Titans,Ryan Succop 54 yard field goal,6,7
3.0,1:59,Bills,Stephen Hauschka 40 yard field goal,6,10
4.0,10:30,Titans,Ryan Succop 39 yard field goal,9,10
,4:43,Titans,Ryan Succop 50 yard field goal,12,10
,0:00,Bills,Stephen Hauschka 46 yard field goal,12,13
