Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Stephen Hauschka kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TEN 25,0,0,Marcus Mariota pass incomplete short left intended for Jonnu Smith (defended by Tremaine Edmunds),0.610,0.060
1,14:54,2,10,TEN 25,0,0,Marcus Mariota pass incomplete short right intended for Derrick Henry,0.060,-0.620
1,14:50,3,10,TEN 25,0,0,Marcus Mariota pass complete short left to Tajae Sharpe for 13 yards (tackle by Ryan Lewis),-0.620,1.470
1,14:38,1,10,TEN 38,0,0,"Marcus Mariota pass complete short left to Taywan Taylor for 5 yards (tackle by Tremaine Edmunds). Taywan Taylor fumbles (forced by Tremaine Edmunds), recovered by Matt Milano at TEN-47",1.470,-2.460
1,14:29,1,10,TEN 47,0,0,Josh Allen pass incomplete deep left intended for Kelvin Benjamin,2.460,1.910
1,14:22,2,10,TEN 47,0,0,LeSean McCoy right guard for 4 yards (tackle by DaQuan Jones),1.910,1.750
1,13:42,3,6,TEN 43,0,0,Josh Allen pass complete short right to Zay Jones for 5 yards (tackle by Malcolm Butler),1.750,0.720
1,13:13,4,1,TEN 38,0,0,Chris Ivory left guard for 3 yards (tackle by Rashaan Evans),0.720,3.250
1,12:34,1,10,TEN 35,0,0,LeSean McCoy up the middle for 5 yards (tackle by Jayon Brown and Jurrell Casey),3.250,3.380
1,12:00,2,5,TEN 30,0,0,LeSean McCoy right tackle for 3 yards (tackle by Jayon Brown and Bennie Logan),3.380,3.070
1,11:19,3,2,TEN 27,0,0,Josh Allen pass complete short left to Zay Jones for 3 yards (tackle by Malcolm Butler),3.070,3.970
1,10:55,1,10,TEN 24,0,0,Josh Allen pass complete short right to Jason Croom for 7 yards (tackle by Rashaan Evans),3.970,4.460
1,10:25,2,3,TEN 17,0,0,LeSean McCoy right guard for 3 yards (tackle by Jayon Brown),4.460,4.650
1,9:52,1,10,TEN 14,0,0,LeSean McCoy right tackle for no gain (tackle by Austin Johnson),4.650,4.000
1,9:12,2,10,TEN 14,0,6,"Josh Allen left tackle for 14 yards, touchdown",4.000,7.000
1,9:03,,,TEN 15,0,7,Stephen Hauschka kicks extra point good,0.000,0.000
1,9:03,,,BUF 35,0,7,"Stephen Hauschka kicks off 64 yards, returned by Darius Jennings for no gain (tackle by Julian Stanford). Penalty on Deon Lacey: Offside on Free Kick, 5 yards",0.000,1.530
1,8:56,1,10,TEN 39,0,7,Marcus Mariota pass complete short right to Corey Davis for 4 yards (tackle by Matt Milano),1.530,1.530
1,8:30,2,6,TEN 43,0,7,Derrick Henry up the middle for 4 yards (tackle by Matt Milano),1.530,1.360
1,8:06,3,2,TEN 47,0,7,Marcus Mariota pass incomplete short middle intended for Corey Davis,1.360,-0.260
1,8:01,4,2,TEN 47,0,7,"Brett Kern punts 45 yards, fair catch by Ray-Ray McCloud at BUF-8",-0.260,0.380
1,7:55,1,10,BUF 8,0,7,LeSean McCoy left end for -2 yards (tackle by DaQuan Jones),-0.380,-0.930
1,7:24,2,12,BUF 6,0,7,LeSean McCoy up the middle for 16 yards (tackle by Kevin Byard),-0.930,0.410
1,6:42,1,10,BUF 22,0,7,LeSean McCoy left guard for 4 yards (tackle by Jayon Brown),0.410,0.410
1,6:08,2,6,BUF 26,0,7,Ray-Ray McCloud left end for -3 yards (tackle by Jayon Brown),0.410,-0.690
1,5:26,3,9,BUF 23,0,7,Josh Allen pass incomplete deep middle intended for Andre Holmes. Penalty on Dion Dawkins: Offensive Holding (Declined),-0.690,-1.830
1,5:19,4,9,BUF 23,0,7,"Corey Bojorquez punts 40 yards, returned by Nick Williams for 38 yards (tackle by Lafayette Pitts)",-1.830,-3.910
1,5:02,1,10,BUF 25,0,7,Marcus Mariota pass complete short left to Dion Lewis for 6 yards (tackle by Taron Johnson),3.910,4.200
1,4:23,2,4,BUF 19,0,7,Dion Lewis up the middle for 3 yards (tackle by Lorenzo Alexander),4.200,4.060
1,3:40,3,1,BUF 16,0,7,Dion Lewis up the middle for 2 yards (tackle by Jerry Hughes and Matt Milano),4.060,4.650
1,2:59,1,10,BUF 14,0,7,Marcus Mariota pass complete short middle to Taywan Taylor for 6 yards (tackle by Jordan Poyer),4.650,5.090
1,2:23,2,4,BUF 8,0,7,Dion Lewis left guard for 1 yard (tackle by Lorenzo Alexander),5.090,4.500
1,1:46,3,3,BUF 7,0,7,Marcus Mariota pass incomplete short right intended for Taywan Taylor,4.500,2.990
1,1:39,4,3,BUF 7,3,7,Ryan Succop 25 yard field goal good,2.990,3.000
1,1:35,,,TEN 35,3,7,"Ryan Succop kicks off 63 yards, returned by Taiwan Jones for no gain (tackle by William Compton and Harold Landry)",0.000,0.870
1,1:29,1,10,BUF 29,3,7,Chris Ivory up the middle for 3 yards (tackle by Austin Johnson and Jayon Brown),0.870,0.730
1,0:52,2,7,BUF 32,3,7,"Penalty on Bennie Logan: Neutral Zone Infraction, 5 yards (no play)",0.730,1.410
1,0:39,2,2,BUF 37,3,7,Chris Ivory right tackle for 4 yards (tackle by Jayon Brown),1.410,1.660
Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 41,3,7,Chris Ivory right guard for no gain (tackle by Logan Ryan),1.660,1.120
2,14:24,2,10,BUF 41,3,7,Josh Allen pass complete short middle to Charles Clay for 12 yards (tackle by Kevin Byard),1.120,2.460
2,13:52,1,10,TEN 47,3,7,LeSean McCoy up the middle for 1 yard (tackle by Rashaan Evans),2.460,2.050
2,13:15,2,9,TEN 46,3,7,LeSean McCoy left tackle for 6 yards (tackle by Brian Orakpo),2.050,2.150
2,12:34,3,3,TEN 40,3,7,Josh Allen pass incomplete deep right intended for Kelvin Benjamin (defended by Derrick Morgan),2.150,0.590
2,12:29,4,3,TEN 40,3,7,"Penalty on Josh Allen: False Start, 5 yards (no play)",0.590,0.270
2,12:29,4,8,TEN 45,3,7,"Corey Bojorquez punts 45 yards, touchback.",0.270,-0.280
2,12:21,1,10,TEN 20,3,7,Derrick Henry left tackle for 4 yards (tackle by Kyle Williams),0.280,0.270
2,11:38,2,6,TEN 24,3,7,Derrick Henry right tackle for 14 yards (tackle by Dean Marlowe),0.270,1.470
2,10:55,1,10,TEN 38,3,7,"Derrick Henry left tackle for no gain (tackle by Jordan Poyer). Penalty on Ben Jones: Offensive Holding, 10 yards (no play)",1.470,0.810
2,10:25,1,20,TEN 28,3,7,Dion Lewis left tackle for -1 yards (tackle by Jerry Hughes and Jordan Phillips),0.810,-0.560
2,9:42,2,21,TEN 27,3,7,Marcus Mariota pass short middle intended for Nick Williams is intercepted by Taron Johnson at TEN-37 and returned for no gain,-0.560,-3.120
2,9:37,1,10,TEN 37,3,7,LeSean McCoy right guard for -5 yards (tackle by DaQuan Jones),3.120,1.900
2,8:54,,,,,,Timeout #1 by Buffalo Bills,,
2,8:54,2,15,TEN 42,3,7,LeSean McCoy right guard for 4 yards (tackle by Brian Orakpo),1.900,1.750
2,8:27,3,11,TEN 38,3,7,Josh Allen pass complete short left to LeSean McCoy for 10 yards (tackle by Logan Ryan),1.750,1.720
2,7:40,,,,,,Timeout #2 by Buffalo Bills,,
2,7:40,4,1,TEN 28,3,7,Chris Ivory right guard for 2 yards (tackle by Logan Ryan),1.720,3.840
2,7:09,1,10,TEN 26,3,7,Josh Allen pass complete short right to Kelvin Benjamin for 11 yards (tackle by Logan Ryan),3.840,4.580
2,6:34,1,10,TEN 15,3,7,Josh Allen up the middle for 1 yard (tackle by William Compton),4.580,4.110
2,6:00,2,9,TEN 14,3,7,LeSean McCoy left end for 2 yards (tackle by DaQuan Jones),4.110,3.580
2,5:16,3,7,TEN 12,3,7,Josh Allen pass incomplete short right intended for Zay Jones,3.580,2.630
2,5:10,4,7,TEN 12,3,7,Corey Bojorquez pass incomplete short middle intended for Stephen Hauschka,2.630,0.350
2,5:03,1,10,TEN 12,3,7,Marcus Mariota pass incomplete short left intended for Luke Stocker (defended by Lorenzo Alexander),-0.350,-0.780
2,4:57,2,10,TEN 12,3,7,Dion Lewis left guard for -1 yards (tackle by Matt Milano),-0.780,-1.540
2,4:14,3,11,TEN 11,3,7,Marcus Mariota pass complete short middle to Corey Davis for 11 yards (tackle by Ryan Lewis),-1.540,0.410
2,3:45,1,10,TEN 22,3,7,Dion Lewis right tackle for 15 yards (tackle by Dean Marlowe),0.410,1.400
2,3:11,1,10,TEN 37,3,7,Derrick Henry left end for 9 yards (tackle by TreDavious White),1.400,2.070
2,2:28,2,1,TEN 46,3,7,Derrick Henry up the middle for 3 yards (tackle by Taron Johnson),2.070,2.190
2,2:00,1,10,TEN 49,3,7,Marcus Mariota pass complete short left to Taywan Taylor for 19 yards (tackle by Matt Milano),2.190,3.450
2,1:15,1,10,BUF 32,3,7,Dion Lewis left end for 6 yards (tackle by Matt Milano),3.450,3.710
2,0:50,2,4,BUF 26,3,7,Marcus Mariota pass incomplete deep left intended for Taywan Taylor,3.710,3.010
2,0:45,3,4,BUF 26,3,7,"Penalty on TEN: Delay of Game, 5 yards (no play)",3.010,2.340
2,0:45,,,,,,Timeout #1 by Tennessee Titans,,
2,0:45,3,9,BUF 31,3,7,Marcus Mariota sacked by Trent Murphy for -5 yards,2.340,0.880
2,0:03,,,,,,Timeout #2 by Tennessee Titans,,
2,0:03,4,14,BUF 36,6,7,Ryan Succop 54 yard field goal good,0.880,3.000
Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,6,7,"Ryan Succop kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BUF 25,6,7,Chris Ivory up the middle for 2 yards (tackle by Austin Johnson),0.610,0.330
3,14:25,2,8,BUF 27,6,7,LeSean McCoy up the middle for 6 yards (tackle by Jayon Brown and DaQuan Jones),0.330,0.430
3,13:44,3,2,BUF 33,6,7,Chris Ivory right tackle for 2 yards (tackle by Brian Orakpo),0.430,1.270
3,13:07,1,10,BUF 35,6,7,Chris Ivory up the middle for -2 yards (tackle by Jurrell Casey and DaQuan Jones),1.270,0.450
3,12:29,2,12,BUF 33,6,7,"LeSean McCoy up the middle for 3 yards (tackle by Brian Orakpo and Kevin Byard). Penalty on DaQuan Jones: Defensive Holding, 5 yards",0.450,1.660
3,11:57,1,10,BUF 41,6,7,"Josh Allen pass incomplete short right. Penalty on Kamalei Correa: Unnecessary Roughness, 15 yards (no play)",1.660,2.650
