Unnamed: 0,DEN,NWE
First Downs,19,25
Rush-Yds-TDs,26-106-0,38-257-2
Cmp-Att-Yd-TD-INT,19-29-187-1-2,18-24-185-3-0
Sacked-Yards,3-18,6-38
Net Pass Yards,169,147
Total Yards,275,404
Fumbles-Lost,3-3,0-0
Turnovers,5,0
Penalties-Yards,8-87,5-65
Third Down Conv.,6-13,5-13
Fourth Down Conv.,0-0,2-2
Time of Possession,26:03,33:57
