Quarter,Time,Tm,Detail,DEN,NWE
1.0,5:08,Patriots,Stephen Gostkowski 31 yard field goal,0,3
,2:06,Patriots,Stephen Gostkowski 40 yard field goal,0,6
2.0,7:34,Patriots,Sammy Morris 4 yard rush (Stephen Gostkowski kick),0,13
,0:44,Patriots,Randy Moss 13 yard pass from Matt Cassel (Stephen Gostkowski kick),0,20
3.0,7:32,Patriots,Randy Moss 27 yard pass from Matt Cassel (Stephen Gostkowski kick),0,27
,2:21,Patriots,Wes Welker 6 yard pass from Matt Cassel (Stephen Gostkowski kick),0,34
4.0,13:21,Broncos,Daniel Graham 10 yard pass from Jay Cutler (Matt Prater kick),7,34
,3:09,Patriots,BenJarvus Green-Ellis 1 yard rush (Stephen Gostkowski kick),7,41
