Unnamed: 0,GNB,SDG
First Downs,17,23
Rush-Yds-TDs,27-83-1,27-88-0
Cmp-Att-Yd-TD-INT,23-33-278-4-1,28-48-363-2-1
Sacked-Yards,0-0,2-27
Net Pass Yards,278,336
Total Yards,361,424
Fumbles-Lost,0-0,4-3
Turnovers,1,4
Penalties-Yards,9-96,9-69
Third Down Conv.,5-14,7-16
Fourth Down Conv.,0-0,1-2
Time of Possession,27:29,32:31
