Quarter,Time,Tm,Detail,GNB,SDG
1.0,10:59,Packers,Ahman Green 4 yard rush (Ryan Longwell kick),7,0
,6:02,Chargers,Steve Christie 20 yard field goal,7,3
2.0,8:59,Packers,Ryan Longwell 32 yard field goal,10,3
,0:33,Packers,Donald Driver 7 yard pass from Brett Favre (Ryan Longwell kick),17,3
3.0,8:52,Chargers,Steve Christie 26 yard field goal,17,6
4.0,14:56,Chargers,LaDainian Tomlinson 7 yard pass from Drew Brees (David Boston pass from Drew Brees),17,14
,12:10,Chargers,LaDainian Tomlinson 68 yard pass from Drew Brees (Steve Christie kick),17,21
,11:18,Packers,Robert Ferguson 40 yard pass from Brett Favre (Ryan Longwell kick),24,21
,8:37,Packers,Ahman Green 1 yard pass from Brett Favre (Ryan Longwell kick),31,21
,3:58,Packers,Robert Ferguson 16 yard pass from Brett Favre (Ryan Longwell kick),38,21
