Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Mike Vanderjagt kicks off 50 yards, returned by Shad Meier for no gain",0.000,1.000
1,14:55,1,10,TEN 31,0,0,"Steve McNair pass complete to Eddie George for 7 yards (tackle by Nick Harper). Penalty on Brad Hopkins: Offensive Holding, 10 yards (no play)",1.000,0.340
1,14:29,1,20,TEN 21,0,0,Steve McNair pass complete to Derrick Mason for 5 yards (tackle by Nick Harper),0.340,-0.220
1,13:42,2,15,TEN 26,0,0,Robert Holcombe left tackle for -2 yards (tackle by Montae Reagor),-0.220,-1.150
1,12:56,3,17,TEN 24,0,0,Steve McNair pass complete to Robert Holcombe for 11 yards (tackle by Idrees Bashir),-1.150,-1.040
1,12:39,4,6,TEN 35,0,0,Craig Hentrich punts 51 yards,-1.040,0.220
1,12:23,1,10,IND 15,0,0,Edgerrin James left tackle for 3 yards (tackle by Brad Kassell and Keith Bulluck),-0.220,-0.280
1,11:51,2,7,IND 18,0,0,Edgerrin James up the middle for 5 yards (tackle by Peter Sirmon and Tank Williams),-0.280,-0.390
1,11:07,3,2,IND 23,0,0,"Edgerrin James right tackle for 5 yards (tackle by Lance Schulters). Penalty on Kevin Carter: Unnecessary Roughness, 15 yards",-0.390,1.800
1,10:45,1,10,IND 43,0,0,Peyton Manning pass complete to Marvin Harrison for 15 yards (tackle by Scott McGarrahan),1.800,2.790
1,10:08,1,10,TEN 42,0,0,Edgerrin James right guard for 3 yards (tackle by Keith Bulluck and Robaire Smith),2.790,2.650
1,9:22,2,7,TEN 39,0,0,Edgerrin James up the middle for 3 yards (tackle by Peter Sirmon),2.650,2.340
1,8:38,3,4,TEN 36,0,0,Peyton Manning pass complete to Dallas Clark for 3 yards (tackle by Peter Sirmon),2.340,1.210
1,8:12,4,1,TEN 33,0,0,Edgerrin James left tackle for 2 yards (tackle by Lance Schulters and Keith Bulluck),1.210,3.510
1,7:26,1,10,TEN 31,0,0,"Peyton Manning pass incomplete intended for Dallas Clark. Penalty on Samari Rolle: Defensive Pass Interference, 11 yards (no play)",3.510,4.240
1,7:22,1,10,TEN 20,0,0,Edgerrin James right tackle for 7 yards (tackle by Tank Williams),4.240,4.830
1,6:59,2,3,TEN 13,0,0,Edgerrin James up the middle for 1 yard (tackle by Kevin Carter and James H. Atkins),4.830,4.340
1,6:14,3,2,TEN 12,0,0,Peyton Manning pass incomplete intended for Reggie Wayne,4.340,2.760
1,6:10,4,2,TEN 12,0,3,Mike Vanderjagt 29 yard field goal good,2.760,3.000
1,,,,IND 30,0,3,"Mike Vanderjagt kicks off 62 yards, returned by Jake Schifino for 37 yards (tackle by Mike Doss). Penalty on Scott McGarrahan: Offensive Holding, 10 yards",0.000,0.040
1,5:57,1,10,TEN 18,0,3,Eddie George up the middle for 11 yards (tackle by Idrees Bashir and Mike Doss),0.040,0.870
1,5:18,1,10,TEN 29,0,3,Eddie George left tackle for 3 yards (tackle by Mike Doss),0.870,0.730
1,4:37,2,7,TEN 32,0,3,Steve McNair pass complete to Erron Kinney for 6 yards (tackle by David Thornton),0.730,0.830
1,3:54,3,1,TEN 38,0,3,Steve McNair pass incomplete intended for Justin McCareins (defended by Walt Harris),0.830,-0.850
1,3:50,4,1,TEN 38,0,3,Craig Hentrich pass complete to Scott McGarrahan for 10 yards (tackle by Jason Doering),-0.850,2.130
1,3:01,1,10,TEN 48,0,3,Eddie George left tackle for -3 yards (tackle by Rob Morris),2.130,1.180
1,2:20,2,13,TEN 45,0,3,Steve McNair sacked by Dwight Freeney for -6 yards,1.180,-0.290
1,1:56,3,19,TEN 39,0,3,Steve McNair pass complete to Robert Holcombe for 11 yards (tackle by Jim Nelson),-0.290,-0.060
1,1:15,4,8,IND 50,0,3,Craig Hentrich punts 42 yards,-0.060,0.380
1,1:03,1,10,IND 8,0,3,Peyton Manning pass incomplete intended for Marvin Harrison,-0.380,-0.780
1,0:58,2,10,IND 8,0,3,"Edgerrin James right end for 4 yards (tackle by Peter Sirmon). Penalty on Steve Sciullo: Unnecessary Roughness, 6 yards",-0.780,-1.650
1,0:24,,,,0,3,Timeout #1 by Indianapolis Colts,0.000,-1.650
1,0:24,3,12,IND 6,0,3,"Penalty on Tarik Glenn: False Start, 3 yards (no play)",-1.650,-2.010
1,0:23,3,15,IND 3,0,3,Peyton Manning pass complete to Edgerrin James for 4 yards (tackle by Andre Dyson),-2.010,-2.490
Quarter,Time,Down,ToGo,Location,TEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,IND 7,0,3,"Hunter Smith punts 43 yards, returned by Justin McCareins for 12 yards (tackle by Cory Bird)",-2.490,-3.050
2,14:49,1,10,IND 38,0,3,Eddie George right end for 9 yards (tackle by Rob Morris),3.050,3.720
2,14:06,2,1,IND 29,0,3,Eddie George up the middle for 5 yards (tackle by Idrees Bashir and Marcus Washington),3.720,3.970
2,13:22,1,10,IND 24,0,3,Eddie George left tackle for 6 yards (tackle by David Thornton),3.970,4.290
2,11:55,2,4,IND 18,0,3,Eddie George up the middle for 2 yards (tackle by Rob Morris),4.290,3.950
2,11:55,,,,0,3,Timeout #1 by Tennessee Titans,0.000,3.950
2,11:55,3,2,IND 16,0,3,Steve McNair pass complete to Derrick Mason for 10 yards (tackle by David Macklin),3.950,5.830
2,11:26,1,6,IND 6,0,3,Eddie George left tackle for 1 yard (tackle by Mike Doss),5.830,5.150
2,10:43,2,5,IND 5,0,3,"Steve McNair pass incomplete intended for Derrick Mason. Penalty on Nick Harper: Defensive Pass Interference, 4 yards (no play)",5.150,6.970
2,10:40,1,1,IND 1,0,3,Eddie George right guard for no gain (tackle by Rob Morris and David Thornton),6.970,5.910
2,9:59,2,1,IND 1,0,3,Eddie George left end for -1 yards (tackle by Nick Harper and Rob Morris),5.910,4.950
2,9:59,3,2,IND 2,0,3,"Penalty on Steve McNair: Delay of Game, 5 yards (no play)",4.950,3.810
2,8:52,3,7,IND 7,6,3,"Steve McNair pass complete to Tyrone Calico for 7 yards, touchdown",3.810,7.000
2,,,,IND 2,7,3,Gary Anderson kicks extra point good,0.000,0.000
2,,,,TEN 30,7,3,"Craig Hentrich kicks off 65 yards, returned by Brad Pyatt for 38 yards (tackle by Craig Hentrich)",0.000,1.800
2,8:37,1,10,IND 43,7,3,Peyton Manning pass complete to Dallas Clark for 42 yards (tackle by Samari Rolle),1.800,4.580
2,8:08,1,10,TEN 15,7,3,"Penalty on Robaire Smith: Neutral Zone Infraction, 5 yards (no play)",4.580,5.740
2,7:47,1,5,TEN 10,7,3,Edgerrin James left guard for 7 yards (tackle by Lance Schulters),5.740,6.510
2,7:01,1,3,TEN 3,7,3,Edgerrin James right guard for 1 yard (tackle by James H. Atkins),6.510,5.720
2,6:18,2,2,TEN 2,7,9,"Edgerrin James right end for 2 yards, touchdown. Penalty on Carlos Hall: Unnecessary Roughness, 15 yards",5.720,7.000
2,,,,TEN 2,7,10,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 45,7,10,"Mike Vanderjagt kicks off 55 yards, touchback",0.000,0.280
2,6:14,1,10,TEN 20,7,10,Eddie George up the middle for 4 yards (tackle by Brad Scioli and David Thornton),0.280,0.270
2,5:37,2,6,TEN 24,7,10,Steve McNair pass complete to Shad Meier for 27 yards (tackle by Mike Doss),0.270,2.320
2,4:55,1,10,IND 49,7,10,Eddie George up the middle for 5 yards (tackle by Brad Scioli),2.320,2.460
2,4:15,2,5,IND 44,7,10,Eddie George right guard for -1 yards (tackle by Dwight Freeney),2.460,1.620
2,3:35,3,6,IND 45,7,10,"Penalty on Fred Miller: False Start, 5 yards (no play)",1.620,0.960
2,3:15,3,11,IND 50,7,10,Steve McNair pass complete to Erron Kinney for 6 yards (tackle by Walt Harris),0.960,0.330
2,2:21,4,5,IND 44,7,10,Craig Hentrich punts 25 yards,0.330,-0.150
2,2:21,1,10,IND 19,7,10,Edgerrin James left tackle for 16 yards (tackle by Scott McGarrahan),0.150,1.270
2,2:00,1,10,IND 35,7,10,Peyton Manning pass incomplete intended for Reggie Wayne,1.270,0.720
2,1:55,2,10,IND 35,7,10,Peyton Manning pass complete to Reggie Wayne for 12 yards (tackle by Andre Dyson),0.720,2.060
2,1:28,1,10,IND 47,7,10,Peyton Manning pass complete to Dallas Clark for 10 yards (tackle by Keith Bulluck),2.060,2.720
2,1:03,1,10,TEN 43,7,10,"Peyton Manning pass incomplete intended for Marvin Harrison (defended by Samari Rolle). Penalty on Samari Rolle: Defensive Pass Interference, 8 yards (no play)",2.720,3.250
2,1:02,1,10,TEN 35,7,16,"Peyton Manning pass complete to Marvin Harrison for 35 yards, touchdown",3.250,7.000
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,,,,TEN 2,7,17,Mike Vanderjagt kicks extra point good,0.000,0.000
2,,,,IND 30,7,17,"Mike Vanderjagt kicks off 67 yards, returned by Jake Schifino for 27 yards (tackle by Robert Mathis)",0.000,0.940
2,0:50,1,10,TEN 30,7,17,Steve McNair pass incomplete intended for Justin McCareins (defended by Jim Nelson),0.940,0.390
