Unnamed: 0,WAS,NYG
First Downs,20,15
Rush-Yds-TDs,28-108-0,28-62-0
Cmp-Att-Yd-TD-INT,19-36-234-2-4,22-33-232-1-0
Sacked-Yards,4-20,2-17
Net Pass Yards,214,215
Total Yards,322,277
Fumbles-Lost,5-3,2-1
Turnovers,7,1
Penalties-Yards,7-50,8-50
Third Down Conv.,4-12,1-13
Fourth Down Conv.,0-1,0-2
Time of Possession,30:05,29:55
