Quarter,Time,Tm,Detail,TAM,WAS
1.0,9:57,Football Team,Joey Slye 46 yard field goal,0,3
,5:56,Football Team,Joey Slye 28 yard field goal,0,6
2.0,12:21,Football Team,DeAndre Carter 20 yard pass from Taylor Heinicke (Joey Slye kick),0,13
,6:44,Buccaneers,Ryan Succop 25 yard field goal,3,13
,0:58,Football Team,Joey Slye 29 yard field goal,3,16
,0:00,Buccaneers,Ryan Succop 31 yard field goal,6,16
3.0,8:46,Buccaneers,Cameron Brate 6 yard pass from Tom Brady (Ryan Succop kick),13,16
,4:21,Football Team,Antonio Gibson 1 yard rush (Joey Slye kick),13,23
4.0,10:55,Buccaneers,Mike Evans 40 yard pass from Tom Brady (Ryan Succop kick failed),19,23
,0:29,Football Team,Antonio Gibson 1 yard rush (run failed),19,29
