Unnamed: 0,TAM,WAS
First Downs,14,23
Rush-Yds-TDs,13-53-0,34-94-2
Cmp-Att-Yd-TD-INT,23-34-220-2-2,26-32-256-1-0
Sacked-Yards,0-0,5-30
Net Pass Yards,220,226
Total Yards,273,320
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,6-43,3-33
Third Down Conv.,4-10,11-19
Fourth Down Conv.,2-2,2-2
Time of Possession,20:52,39:08
