Unnamed: 0,ATL,CAR
First Downs,20,18
Rush-Yds-TDs,25-138-0,47-232-2
Cmp-Att-Yd-TD-INT,19-30-186-2-1,10-16-108-0-0
Sacked-Yards,5-33,1-7
Net Pass Yards,153,101
Total Yards,291,333
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,4-37,10-89
Third Down Conv.,3-11,6-15
Fourth Down Conv.,0-2,0-0
Time of Possession,25:48,34:12
