Quarter,Time,Tm,Detail,PHI,JAX
1.0,5:25,Eagles,DeSean Jackson 61 yard pass from Michael Vick (David Akers kick),7,0
2.0,9:08,Jaguars,Josh Scobee 51 yard field goal,7,3
,0:04,Eagles,Jeremy Maclin 16 yard pass from Michael Vick (David Akers kick),14,3
3.0,5:21,Eagles,Jeremy Maclin 45 yard pass from Michael Vick (David Akers kick),21,3
,0:17,Eagles,Michael Vick 17 yard rush (David Akers kick),28,3
