Unnamed: 0,PHI,JAX
First Downs,15,16
Rush-Yds-TDs,21-106-1,32-139-0
Cmp-Att-Yd-TD-INT,17-31-291-3-0,13-30-105-0-1
Sacked-Yards,3-24,7-53
Net Pass Yards,267,52
Total Yards,373,191
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,7-84,4-67
Third Down Conv.,5-13,5-17
Fourth Down Conv.,0-1,1-2
Time of Possession,27:07,32:53
