#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:22,JAX 10,8,4:56,27,Punt
2,1,5:25,JAX 22,5,2:19,16,Punt
3,1,0:35,PHI 43,3,1:28,2,Punt
4,2,13:04,JAX 49,8,3:56,18,Field Goal
5,2,4:02,JAX 26,6,2:25,-8,Punt
6,2,0:04,JAX 15,1,0:04,-1,End of Half
7,3,15:00,JAX 23,4,1:42,18,Punt
8,3,12:12,JAX 27,4,2:44,20,Punt
9,3,6:25,JAX 28,3,0:55,-5,Interception
10,3,5:21,JAX 16,3,1:52,9,Punt
11,3,0:17,JAX 40,5,1:25,42,Downs
12,4,12:18,JAX 37,8,4:21,0,Punt
13,4,4:46,JAX 12,12,4:46,59,End of Game
