Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 60 yards, returned by Ellis Hobbs for 46 yards (tackle by Tyron Brackenridge)",0.000,2.650
1,14:53,1,10,JAX 44,0,0,Michael Vick pass complete short left to Brent Celek for 4 yards (tackle by William Middleton),2.650,2.650
1,14:15,2,6,JAX 40,0,0,Michael Vick right end for 3 yards (tackle by Daryl Smith),2.650,2.350
1,13:34,3,3,JAX 37,0,0,Michael Vick pass incomplete short right intended for DeSean Jackson,2.350,0.790
1,13:29,4,3,JAX 37,0,0,"Saverio Rocca punts 27 yards, fair catch by Mike Thomas",0.790,0.380
1,13:22,1,10,JAX 10,0,0,Maurice Jones-Drew middle for 1 yard (tackle by Trent Cole),-0.380,-0.710
1,12:46,2,9,JAX 11,0,0,Maurice Jones-Drew left end for 17 yards (tackle by Nate Allen),-0.710,0.810
1,12:08,1,10,JAX 28,0,0,Maurice Jones-Drew left end for 5 yards (tackle by Mike Patterson),0.810,0.940
1,11:35,2,5,JAX 33,0,0,Maurice Jones-Drew middle for -1 yards (tackle by Akeem Jordan),0.940,0.100
1,10:55,3,6,JAX 32,0,0,David Garrard pass complete short right to Rashad Jennings for 14 yards (tackle by Quintin Mikell),0.100,1.990
1,10:25,1,10,JAX 46,0,0,Rashad Jennings left end for 2 yards (tackle by Akeem Jordan),1.990,1.720
1,9:42,2,8,JAX 48,0,0,David Garrard sacked by Darryl Tapp for -9 yards,1.720,-0.160
1,9:10,3,17,JAX 39,0,0,David Garrard pass complete short right to Maurice Jones-Drew for -2 yards (tackle by Quintin Mikell),-0.160,-0.910
1,8:37,4,19,JAX 37,0,0,Adam Podlesh punts 34 yards,-0.910,-0.870
1,8:26,1,10,PHI 29,0,0,LeSean McCoy middle for 6 yards (tackle by Daryl Smith),0.870,1.140
1,7:49,2,4,PHI 35,0,0,LeSean McCoy middle for 2 yards (tackle by Kirk Morrison),1.140,0.700
1,7:15,3,2,PHI 37,0,0,Michael Vick left end for 8 yards (tackle by William Middleton). Penalty on Larry Hart: Defensive Offside (Declined),0.700,1.930
1,6:47,1,10,PHI 45,0,0,Mike Bell middle for 3 yards (tackle by Terrance Knighton),1.930,1.790
1,6:11,2,7,PHI 48,0,0,Michael Vick sacked by Terrance Knighton for -9 yards,1.790,-0.100
1,5:36,3,16,PHI 39,6,0,"Michael Vick pass complete deep right to DeSean Jackson for 61 yards, touchdown",-0.100,7.000
1,,,,JAX 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 71 yards, returned by Tiquan Underwood for 23 yards (tackle by Jorrick Calvin)",0.000,0.410
1,5:20,1,10,JAX 22,7,0,David Garrard middle for 9 yards (tackle by Asante Samuel),0.410,1.080
1,4:40,2,1,JAX 31,7,0,Maurice Jones-Drew middle for 5 yards (tackle by Stewart Bradley),1.080,1.330
1,4:01,1,10,JAX 36,7,0,David Garrard pass incomplete short left intended for Mike Sims-Walker (defended by Ellis Hobbs),1.330,0.790
1,3:57,2,10,JAX 36,7,0,Maurice Jones-Drew middle for 2 yards (tackle by Akeem Jordan),0.790,0.370
1,3:18,3,8,JAX 38,7,0,David Garrard pass incomplete deep middle intended for Mike Thomas,0.370,-0.850
1,3:13,4,8,JAX 38,7,0,"Adam Podlesh punts 46 yards, fair catch by Jeremy Maclin",-0.850,0.140
1,3:06,1,10,PHI 16,7,0,Michael Vick pass incomplete short right intended for Jeremy Maclin (defended by Aaron Kampman),-0.140,-0.660
1,3:02,2,10,PHI 16,7,0,Mike Bell middle for 9 yards (tackle by Russell Allen),-0.660,-0.200
1,2:22,3,1,PHI 25,7,0,Michael Vick pass complete short left to Owen Schmitt for 2 yards (tackle by Russell Allen),-0.200,0.740
1,1:41,1,10,PHI 27,7,0,LeSean McCoy middle for 4 yards (tackle by Sean Considine),0.740,0.740
1,1:00,2,6,PHI 31,7,0,Michael Vick pass incomplete short middle intended for LeSean McCoy (defended by Larry Hart),0.740,0.040
1,0:56,3,6,PHI 31,7,0,Michael Vick pass incomplete short middle intended for Brent Celek,0.040,-1.310
1,0:51,4,6,PHI 31,7,0,"Saverio Rocca punts 53 yards, returned by Mike Thomas for 41 yards (tackle by Saverio Rocca)",-1.310,-2.720
1,0:35,1,10,PHI 43,7,0,Maurice Jones-Drew middle for 4 yards (tackle by Trevor Laws),2.720,2.720
Quarter,Time,Down,ToGo,Location,PHI,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,PHI 39,7,0,David Garrard pass incomplete deep left intended for Mike Thomas,2.720,2.010
2,14:52,3,6,PHI 39,7,0,David Garrard sacked by Trevor Laws for -2 yards,2.010,0.530
2,14:19,,,,7,0,Timeout #1 by Philadelphia Eagles,0.000,0.530
2,14:19,4,8,PHI 41,7,0,"Adam Podlesh punts 31 yards, fair catch by DeSean Jackson. Penalty on DeSean Jackson: Personal Foul, 5 yards",0.530,0.380
2,14:07,1,10,PHI 5,7,0,Michael Vick pass incomplete deep middle intended for Jeremy Maclin,-0.380,-0.780
2,14:01,2,10,PHI 5,7,0,Mike Bell middle for 1 yard (tackle by Kirk Morrison),-0.780,-1.300
2,13:21,3,9,PHI 6,7,0,Michael Vick pass incomplete deep middle intended for DeSean Jackson (defended by Terrance Knighton),-1.300,-2.490
2,13:16,4,9,PHI 6,7,0,"Saverio Rocca punts 56 yards, returned by Mike Thomas for 11 yards (tackle by Akeem Jordan)",-2.490,-2.190
