Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Jonathan Taylor up the middle for 3 yards (tackle by T.J. Edwards and Linval Joseph),0.610,0.470
1,14:23,2,7,IND 28,0,0,Matt Ryan pass complete short left to Michael Pittman for 1 yard (tackle by James Bradberry),0.470,-0.100
1,13:46,3,6,IND 29,0,0,Matt Ryan pass complete short middle to Michael Pittman for 24 yards (tackle by C.J. Gardner-Johnson),-0.100,2.460
1,13:18,1,10,PHI 47,0,0,Jonathan Taylor up the middle for 28 yards (tackle by Darius Slay),2.460,4.310
1,12:46,1,10,PHI 19,0,0,Jonathan Taylor up the middle for 9 yards (tackle by T.J. Edwards and Kyzir White),4.310,5.360
1,12:10,2,1,PHI 10,0,0,Jonathan Taylor right tackle for no gain (tackle by Josh Sweat),5.360,4.690
1,11:27,,,,,,Timeout #1 by Indianapolis Colts,,
1,11:27,3,1,PHI 10,0,0,Matt Ryan up the middle for 1 yard (tackle by T.J. Edwards),4.690,5.140
1,10:52,1,9,PHI 9,0,0,Jonathan Taylor up the middle for 6 yards (tackle by C.J. Gardner-Johnson and Marcus Epps),5.140,5.530
1,10:18,2,3,PHI 3,0,0,Jonathan Taylor left tackle for 2 yards (tackle by C.J. Gardner-Johnson),5.530,5.170
1,9:40,3,1,PHI 1,0,6,"Jonathan Taylor left guard for 1 yard, touchdown",5.170,7.000
1,9:37,,,PHI 15,0,7,Chase McLaughlin kicks extra point good,0.000,0.000
1,9:37,,,IND 35,0,7,"Chase McLaughlin kicks off 65 yards, touchback.",0.000,0.610
1,9:37,1,10,PHI 25,0,7,Jalen Hurts pass complete short left to A.J. Brown for 14 yards (tackle by Zaire Franklin and Rodney McLeod),0.610,1.530
1,8:57,1,10,PHI 39,0,7,Miles Sanders left tackle for 5 yards (tackle by Zaire Franklin and Rodney McLeod),1.530,1.660
1,8:19,2,5,PHI 44,0,7,Jalen Hurts pass complete short right to A.J. Brown for 3 yards (tackle by Bobby Okereke),1.660,1.360
