Unnamed: 0,PHI,IND
First Downs,18,14
Rush-Yds-TDs,33-141-1,26-99-1
Cmp-Att-Yd-TD-INT,18-25-190-1-0,23-32-213-0-0
Sacked-Yards,3-17,4-28
Net Pass Yards,173,185
Total Yards,314,284
Fumbles-Lost,4-2,2-1
Turnovers,2,1
Penalties-Yards,7-55,8-90
Third Down Conv.,5-12,5-15
Fourth Down Conv.,1-2,0-1
Time of Possession,29:22,30:38
