Quarter,Time,Tm,Detail,PHI,IND
1.0,9:37,Colts,Jonathan Taylor 1 yard rush (Chase McLaughlin kick),0,7
2.0,4:50,Eagles,Jake Elliott 22 yard field goal,3,7
,0:13,Colts,Chase McLaughlin 51 yard field goal,3,10
3.0,13:14,Colts,Chase McLaughlin 36 yard field goal,3,13
4.0,13:31,Eagles,Quez Watkins 22 yard pass from Jalen Hurts (Jake Elliott kick),10,13
,4:37,Colts,Chase McLaughlin 37 yard field goal,10,16
,1:20,Eagles,Jalen Hurts 7 yard rush (Jake Elliott kick),17,16
