Unnamed: 0,ARI,SEA
First Downs,18,16
Rush-Yds-TDs,30-97-0,36-175-3
Cmp-Att-Yd-TD-INT,21-33-248-3-2,10-26-128-0-1
Sacked-Yards,4-28,1-2
Net Pass Yards,220,126
Total Yards,317,301
Fumbles-Lost,4-0,2-0
Turnovers,2,1
Penalties-Yards,4-25,6-51
Third Down Conv.,4-15,4-15
Fourth Down Conv.,0-0,0-0
Time of Possession,32:32,27:28
