Quarter,Time,Tm,Detail,OAK,LAC
2.0,13:09,Chargers,Keenan Allen 27 yard fumble return (Nick Rose kick),0,7
,11:38,Raiders,Amari Cooper 87 yard pass from Derek Carr (Giorgio Tavecchio kick),7,7
,7:27,Raiders,Giorgio Tavecchio 40 yard field goal,10,7
,5:12,Chargers,Tyrell Williams 56 yard pass from Philip Rivers (Nick Rose kick),10,14
,0:24,Chargers,Keenan Allen 6 yard pass from Philip Rivers (Nick Rose kick failed),10,20
3.0,10:39,Chargers,Nick Rose 25 yard field goal,10,23
,0:53,Chargers,Travis Benjamin 62 yard pass from Philip Rivers (Nick Rose kick),10,30
