Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,LAC 35,0,0,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,OAK 25,0,0,Derek Carr pass complete short left to Marshawn Lynch for 1 yard (tackle by Kyle Emanuel),0.610,0.200
1,14:27,2,9,OAK 26,0,0,Derek Carr for 2 yards,0.200,-0.230
1,13:49,3,7,OAK 28,0,0,Derek Carr pass incomplete short middle intended for DeAndre Washington,-0.230,-1.500
1,13:43,4,7,OAK 28,0,0,"Marquette King punts 50 yards, fair catch by Travis Benjamin",-1.500,-0.410
1,13:34,1,10,LAC 22,0,0,Philip Rivers pass complete short left to Melvin Gordon for -1 yards (tackle by Bruce Irvin and NaVorro Bowman),0.410,-0.270
1,12:54,2,11,LAC 21,0,0,"Melvin Gordon left end for 3 yards (tackle by NaVorro Bowman and Reggie Nelson). Penalty on Keenan Allen: Illegal Block Above the Waist, 10 yards",-0.270,-1.330
1,12:54,2,18,LAC 14,0,0,Philip Rivers pass complete short middle to Tyrell Williams for 10 yards (tackle by Sean Smith),-1.330,-0.560
1,11:42,3,8,LAC 24,0,0,Philip Rivers pass complete short right to Travis Benjamin for 21 yards (tackle by Sean Smith),-0.560,1.930
1,11:06,1,10,LAC 45,0,0,Philip Rivers pass complete short left to Keenan Allen for 11 yards (tackle by NaVorro Bowman),1.930,2.650
1,10:24,1,10,OAK 44,0,0,Philip Rivers pass incomplete deep left intended for Tyrell Williams,2.650,2.110
1,10:17,2,10,OAK 44,0,0,Melvin Gordon middle for 3 yards (tackle by Marquel Lee and NaVorro Bowman),2.110,1.820
1,9:32,3,7,OAK 41,0,0,Philip Rivers pass incomplete short left intended for Melvin Gordon,1.820,0.530
1,9:26,4,7,OAK 41,0,0,"Drew Kaser punts 30 yards, fair catch by T.J. Carrie",0.530,0.370
1,9:19,1,10,OAK 11,0,0,Marshawn Lynch right guard for no gain (tackle by Kyle Emanuel and Darius Philon),-0.370,-0.780
1,8:40,2,10,OAK 11,0,0,Marshawn Lynch right tackle for 3 yards (tackle by Korey Toomer),-0.780,-1.070
1,7:56,3,7,OAK 14,0,0,Derek Carr pass complete short left to Michael Crabtree for 12 yards (tackle by Trevor Williams),-1.070,0.670
1,7:12,1,10,OAK 26,0,0,Marshawn Lynch right end for 18 yards (tackle by Tre Boston),0.670,1.860
1,6:25,1,10,OAK 44,0,0,DeAndre Washington left guard for 1 yard (tackle by Joey Bosa),1.860,1.450
1,5:42,2,9,OAK 45,0,0,Derek Carr pass complete deep left to Jared Cook for 24 yards (tackle by Kyle Emanuel and Tre Boston),1.450,3.510
1,5:00,1,10,LAC 31,0,0,Marshawn Lynch middle for no gain (tackle by Jahleel Addae),3.510,2.970
1,4:18,2,10,LAC 31,0,0,"Derek Carr pass incomplete short left intended for Marshawn Lynch. Penalty on David Sharpe: Offensive Holding, 10 yards (no play)",2.970,1.620
1,4:14,2,20,LAC 41,0,0,Derek Carr pass complete short left to DeAndre Washington for 1 yard (tackle by Denzel Perryman),1.620,1.090
1,3:28,3,19,LAC 40,0,0,Derek Carr pass complete short right to DeAndre Washington for -1 yards (tackle by Isaac Rochell and Jatavis Brown),1.090,0.530
1,2:43,4,20,LAC 41,0,0,"Marquette King punts 40 yards, out of bounds",0.530,0.380
1,2:36,1,10,LAC 1,0,0,Derek Watt middle for 2 yards (tackle by Khalil Mack and Justin Ellis),-0.380,-0.630
1,1:53,2,8,LAC 3,0,0,Melvin Gordon right end for 9 yards (tackle by Karl Joseph),-0.630,-0.350
1,1:15,1,10,LAC 12,0,0,Melvin Gordon middle for 11 yards (tackle by Dexter McDonald and T.J. Carrie),-0.350,0.480
1,0:38,1,10,LAC 23,0,0,Melvin Gordon left guard for 5 yards (tackle by Khalil Mack),0.480,0.610
Quarter,Time,Down,ToGo,Location,OAK,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LAC 28,0,0,Philip Rivers pass complete short left to Travis Benjamin for 8 yards (tackle by Antonio Hamilton),0.610,1.330
2,14:33,1,10,LAC 36,0,0,"Travis Benjamin for 3 yards (tackle by T.J. Carrie). Penalty on Keenan Allen: Illegal Block Above the Waist, 10 yards",1.330,0.870
2,14:10,1,17,LAC 29,0,0,Philip Rivers pass complete short left to Melvin Gordon for 1 yard (tackle by Bruce Irvin),0.870,-0.020
2,13:32,2,16,LAC 30,0,0,Philip Rivers pass incomplete deep middle intended for Keenan Allen (defended by T.J. Carrie),-0.020,-0.690
2,13:26,3,16,LAC 30,0,0,"Philip Rivers pass incomplete deep right intended for Travis Benjamin. Penalty on Antonio Hamilton: Defensive Pass Interference, 30 yards (no play)",-0.690,2.920
2,13:19,1,10,OAK 40,0,6,"Melvin Gordon right end for 11 yards (tackle by Reggie Nelson). Melvin Gordon fumbles (forced by Reggie Nelson), recovered by Keenan Allen at OAK-27 and returned for 27 yards, touchdown",2.920,7.000
2,13:09,,,OAK 15,0,7,Nick Rose kicks extra point good,0.000,0.000
2,13:09,,,LAC 35,0,7,"Nick Rose kicks off 65 yards, touchback",0.000,-0.610
2,13:09,1,10,OAK 25,0,7,Derek Carr sacked by Melvin Ingram and Darius Philon for -6 yards,0.610,-0.810
2,12:22,2,16,OAK 19,0,7,Derek Carr pass incomplete short middle intended for Jared Cook,-0.810,-1.510
2,12:19,3,16,OAK 19,0,7,"Derek Carr pass complete short middle to Cordarrelle Patterson for 4 yards (tackle by Trevor Williams). Penalty on Seth Roberts: Illegal Block Above the Waist, 10 yards",-1.510,-2.750
2,11:51,3,22,OAK 13,6,7,"Derek Carr pass complete deep middle to Amari Cooper for 87 yards, touchdown",-2.750,7.000
2,11:38,,,LAC 15,7,7,Giorgio Tavecchio kicks extra point good,0.000,0.000
2,11:38,,,OAK 35,7,7,"Giorgio Tavecchio kicks off 65 yards, touchback",0.000,-0.610
2,11:38,1,10,LAC 25,7,7,Philip Rivers pass complete deep left to Keenan Allen for 28 yards (tackle by T.J. Carrie),0.610,2.460
2,11:09,1,10,OAK 47,7,7,Philip Rivers pass incomplete short left intended for Keenan Allen,2.460,1.910
2,11:03,2,10,OAK 47,7,7,Philip Rivers pass complete short right to Antonio Gates for 9 yards (tackle by Nicholas Morrow),1.910,2.410
2,10:42,3,1,OAK 38,7,7,Melvin Gordon right end for 3 yards (tackle by Shalom Luani),2.410,3.250
2,10:08,1,10,OAK 35,7,7,Melvin Gordon right tackle for 7 yards (tackle by T.J. Carrie and Jihad Ward),3.250,3.650
2,9:29,2,3,OAK 28,7,7,Branden Oliver middle for 1 yard (tackle by Khalil Mack and Eddie Vanderdoes),3.650,3.070
2,8:47,3,2,OAK 27,7,7,Philip Rivers pass incomplete short right intended for Keenan Allen,3.070,1.800
2,8:43,4,2,OAK 27,7,7,"Penalty on Joe Barksdale: False Start, 5 yards (no play)",1.800,1.240
2,8:43,4,7,OAK 32,7,7,"Nick Rose 50 yard field goal no good, blocked by Justin Ellis, recovered by Keith McGill",1.240,-3.580
2,8:33,1,10,LAC 30,7,7,Marshawn Lynch middle for 3 yards (tackle by Kyle Emanuel and Joey Bosa),3.580,0.000
2,8:06,,,,,,Timeout #1 by Oakland Raiders,0.000,-3.440
2,8:06,2,7,LAC 27,7,7,Derek Carr pass incomplete deep left intended for Amari Cooper (defended by Casey Hayward),3.440,2.740
2,8:00,3,7,LAC 27,7,7,Derek Carr pass complete short left to Jared Cook for 5 yards,2.740,2.120
2,7:33,4,2,LAC 22,10,7,Giorgio Tavecchio 40 yard field goal good,2.120,3.000
