Unnamed: 0,OAK,LAC
First Downs,14,26
Rush-Yds-TDs,23-105-0,30-115-0
Cmp-Att-Yd-TD-INT,19-28-243-1-1,28-37-387-3-0
Sacked-Yards,2-12,1-7
Net Pass Yards,231,380
Total Yards,336,495
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,6-85,7-65
Third Down Conv.,4-11,7-13
Fourth Down Conv.,0-3,0-1
Time of Possession,26:40,33:20
