Quarter,Time,Down,ToGo,Location,CHI,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 73 yards, returned by Darren Sproles for 22 yards (tackle by Israel Idonije)",0.000,0.150
1,14:56,1,10,SDG 19,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Lance Briggs and Hunter Hillenmeyer),0.150,-0.060
1,14:19,2,8,SDG 21,0,0,LaDainian Tomlinson left end for 3 yards (tackle by Mark Anderson and Dusty Dvoracek),-0.060,-0.420
1,13:36,3,5,SDG 24,0,0,Philip Rivers pass complete short right to LaDainian Tomlinson for 9 yards (tackle by Charles Tillman),-0.420,1.140
1,12:51,1,10,SDG 33,0,0,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,1.140,0.590
1,12:46,2,10,SDG 33,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Adam Archuleta),0.590,0.040
1,12:04,3,9,SDG 34,0,0,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,0.040,-1.110
1,11:59,4,9,SDG 34,0,0,Mike Scifres punts 54 yards,-1.110,0.350
1,11:48,1,10,CHI 12,0,0,Cedric Benson right tackle for 2 yards (tackle by Matt Wilhelm),-0.350,-0.610
1,11:15,2,8,CHI 14,0,0,Rex Grossman sacked by Shaun Phillips for -6 yards,-0.610,-1.890
1,10:43,3,14,CHI 8,0,0,Cedric Benson up the middle for -1 yards (tackle by Eric Weddle),-1.890,-2.490
1,10:09,4,15,CHI 7,0,0,"Brad Maynard punts 34 yards, fair catch by Craig Davis",-2.490,-2.850
1,10:00,1,10,CHI 41,0,0,Philip Rivers pass complete short right to Antonio Gates for 17 yards (tackle by Adam Archuleta),2.850,3.970
1,9:25,1,10,CHI 24,0,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Adam Archuleta),3.970,3.570
1,8:42,2,9,CHI 23,0,0,"Philip Rivers pass incomplete deep right intended for Vincent Jackson. Penalty on Vincent Jackson: Offensive Pass Interference, 10 yards (no play)",3.570,2.220
1,8:36,2,19,CHI 33,0,0,Philip Rivers pass complete deep left to Antonio Gates for 16 yards,2.220,3.750
1,8:12,3,3,CHI 17,0,0,Philip Rivers pass complete short right to Antonio Gates for 2 yards (tackle by Hunter Hillenmeyer),3.750,2.590
1,7:59,4,1,CHI 15,0,0,Philip Rivers left end for 3 yards (tackle by Brian Urlacher),2.590,4.780
1,7:15,1,10,CHI 12,0,0,LaDainian Tomlinson left end for -4 yards (tackle by Alex Brown),4.780,3.530
1,6:33,2,14,CHI 16,0,0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 4 yards (tackle by Hunter Hillenmeyer),3.530,3.120
1,6:33,3,10,CHI 12,0,0,"Penalty on Vincent Jackson: False Start, 5 yards (no play)",3.120,2.840
1,5:37,3,15,CHI 17,0,0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 2 yards (tackle by Lance Briggs),2.840,2.440
1,5:02,4,13,CHI 15,0,0,"Nate Kaeding 33 yard field goal no good, blocked by Alex Brown",2.440,-0.540
1,4:53,1,10,CHI 24,0,0,Rex Grossman pass incomplete deep left intended for Muhsin Muhammad (defended by Marlon McCree),0.540,0.000
1,4:48,2,10,CHI 24,0,0,Cedric Benson up the middle for 4 yards (tackle by Clinton Hart and Matt Wilhelm),0.000,-0.160
1,4:14,3,6,CHI 28,0,0,Rex Grossman pass incomplete short right intended for Bernard Berrian,-0.160,-1.500
1,4:09,4,6,CHI 28,0,0,Brad Maynard punts 37 yards,-1.500,-1.270
1,4:00,1,10,SDG 35,0,0,LaDainian Tomlinson right tackle for no gain (tackle by Mike Brown),1.270,0.720
1,3:20,2,10,SDG 35,0,0,Philip Rivers pass incomplete deep middle intended for Antonio Gates is intercepted by Mike Brown at CHI-37 and returned for 27 yards (tackle by Mike Goff),0.720,-3.180
1,3:07,1,10,SDG 36,0,0,Cedric Benson right tackle for 11 yards (tackle by Drayton Florence and Marlon McCree),3.180,3.910
1,2:33,1,10,SDG 25,0,0,Cedric Benson up the middle for 4 yards (tackle by Matt Wilhelm),3.910,3.900
1,1:58,2,6,SDG 21,0,0,Rex Grossman pass complete short right to Jason McKie for 4 yards (tackle by Quentin Jammer),3.900,3.850
1,1:20,3,2,SDG 17,0,0,Adrian Peterson right end for 3 yards (tackle by Stephen Cooper),3.850,4.650
1,0:44,1,10,SDG 14,0,0,Cedric Benson right tackle for 3 yards (tackle by Matt Wilhelm),4.650,4.520
Quarter,Time,Down,ToGo,Location,CHI,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,SDG 11,0,0,Cedric Benson up the middle for 2 yards (tackle by Jamal Williams),4.520,4.050
2,14:22,3,5,SDG 9,0,0,Rex Grossman pass incomplete short left intended for Bernard Berrian,4.050,2.880
2,14:17,4,5,SDG 9,3,0,Robbie Gould 27 yard field goal good,2.880,3.000
2,,,,CHI 30,3,0,"Robbie Gould kicks off 61 yards, returned by Michael Turner for 15 yards (tackle by Adrian Peterson)",0.000,0.540
2,14:07,1,10,SDG 24,3,0,LaDainian Tomlinson left end for no gain (tackle by Adam Archuleta),0.540,0.000
2,13:25,2,10,SDG 24,3,0,LaDainian Tomlinson up the middle for no gain (tackle by Brandon McGowan),0.000,-0.690
2,12:46,3,10,SDG 24,3,0,Philip Rivers sacked by Mark Anderson and Darwin Walker for -11 yards,-0.690,-2.490
2,12:10,4,21,SDG 13,3,0,"Mike Scifres punts 44 yards, fair catch by Devin Hester",-2.490,-1.800
2,12:09,1,10,CHI 43,3,0,"Penalty on John Gilmore: False Start, 5 yards (no play)",1.800,1.470
2,12:09,1,15,CHI 38,3,0,Cedric Benson left end for no gain (tackle by Jamal Williams),1.470,0.580
2,11:32,2,15,CHI 38,3,0,Rex Grossman pass incomplete short right intended for Cedric Benson,0.580,-0.100
2,11:27,3,15,CHI 38,3,0,Rex Grossman pass complete short left to Bernard Berrian for 21 yards (tackle by Eric Weddle),-0.100,2.850
2,10:51,1,10,SDG 41,3,0,Rex Grossman pass incomplete short left intended for Muhsin Muhammad,2.850,2.310
2,10:45,2,10,SDG 41,3,0,Rex Grossman pass complete short left to Jason McKie for 1 yard (tackle by Ryon Bingham),2.310,1.750
2,10:03,3,9,SDG 40,3,0,Rex Grossman sacked by Eric Weddle for -5 yards,1.750,0.270
2,9:35,4,14,SDG 45,3,0,"Brad Maynard punts 45 yards, touchback",0.270,-0.280
2,9:25,1,10,SDG 20,3,0,Philip Rivers pass complete short left to Vincent Jackson for 9 yards (tackle by Nathan Vasher),0.280,0.950
2,8:49,2,1,SDG 29,3,0,Lorenzo Neal up the middle for 5 yards (tackle by Lance Briggs and Brian Urlacher),0.950,1.200
2,8:11,1,10,SDG 34,3,0,LaDainian Tomlinson right tackle for -4 yards (tackle by Dusty Dvoracek),1.200,0.120
2,7:33,2,14,SDG 30,3,0,Philip Rivers pass incomplete short right intended for Lorenzo Neal,0.120,-0.560
2,7:27,3,14,SDG 30,3,0,Philip Rivers pass complete short left to Antonio Gates for 8 yards (tackle by Mike Brown),-0.560,-0.850
2,7:19,4,6,SDG 38,3,0,"Mike Scifres punts 41 yards, fair catch by Devin Hester",-0.850,-0.340
2,7:10,1,10,CHI 21,3,0,Cedric Benson left end for 2 yards (tackle by Clinton Hart),0.340,0.070
2,6:46,2,8,CHI 23,3,0,Rex Grossman pass complete short middle to Bernard Berrian for 18 yards (tackle by Marlon McCree),0.070,1.660
2,6:10,1,10,CHI 41,3,0,Cedric Benson right end for 3 yards (tackle by Shawne Merriman and Jacques Cesaire),1.660,1.530
2,5:34,2,7,CHI 44,3,0,Cedric Benson right end for -3 yards (tackle by Shawne Merriman),1.530,0.430
2,4:52,3,10,CHI 41,3,0,Rex Grossman pass incomplete short left intended for Rashied Davis (defended by Drayton Florence),0.430,-0.650
2,4:46,4,10,CHI 41,3,0,"Brad Maynard punts 39 yards, fair catch by Craig Davis",-0.650,-0.280
2,4:38,1,10,SDG 20,3,0,Philip Rivers pass complete short left to Craig Davis for 5 yards (tackle by Adam Archuleta),0.280,0.410
2,4:01,2,5,SDG 25,3,0,Philip Rivers pass incomplete deep middle intended for Vincent Jackson,0.410,-0.300
