Quarter,Time,Tm,Detail,CHI,SDG
2,14:13,Bears,Robbie Gould 27 yard field goal,3,0
3,0:45,Chargers,Antonio Gates 17 yard pass from LaDainian Tomlinson (Nate Kaeding kick),3,7
4,9:09,Chargers,LaDainian Tomlinson 7 yard rush (Nate Kaeding kick),3,14
