Unnamed: 0,CHI,SDG
First Downs,11,19
Rush-Yds-TDs,26-80-0,36-77-1
Cmp-Att-Yd-TD-INT,12-23-145-0-1,23-32-207-1-1
Sacked-Yards,3-23,3-21
Net Pass Yards,122,186
Total Yards,202,263
Fumbles-Lost,4-3,2-1
Turnovers,4,2
Penalties-Yards,4-38,3-20
Third Down Conv.,3-11,8-17
Fourth Down Conv.,0-1,1-1
Time of Possession,22:57,37:03
