Unnamed: 0,CIN,DET
First Downs,20,15
Rush-Yds-TDs,36-142-0,18-36-1
Cmp-Att-Yd-TD-INT,20-30-278-4-1,28-42-202-0-1
Sacked-Yards,2-22,1-10
Net Pass Yards,256,192
Total Yards,398,228
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,4-31,9-77
Third Down Conv.,8-15,5-14
Fourth Down Conv.,2-2,1-2
Time of Possession,35:52,24:08
