Quarter,Time,Tm,Detail,CIN,DET
1.0,8:26,Bengals,Chris Evans 24 yard pass from Joe Burrow (Evan McPherson kick),7,0
2.0,0:00,Bengals,Evan McPherson 38 yard field goal,10,0
3.0,10:40,Bengals,Joe Mixon 40 yard pass from Joe Burrow (Evan McPherson kick),17,0
,3:38,Bengals,Evan McPherson 40 yard field goal,20,0
4.0,12:38,Bengals,C.J. Uzomah 2 yard pass from Joe Burrow (Evan McPherson kick),27,0
,8:36,Lions,Austin Seibert 35 yard field goal,27,3
,5:16,Bengals,Auden Tate 7 yard pass from Brandon Allen (Evan McPherson kick),34,3
,2:15,Lions,D'Andre Swift 1 yard rush (Amon-Ra St. Brown pass from Jared Goff),34,11
