Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Joe Mixon,CIN,6,5,59,1,2,-9,-1.8,68,13.6,-1.7,0,,0,0.0,0,147.2
Ja'Marr Chase,CIN,6,4,97,0,2,75,18.8,22,5.5,17.0,0,,1,16.7,1,70.1
Chris Evans,CIN,3,3,49,1,2,26,8.7,23,7.7,8.7,1,3.0,0,0.0,0,158.3
Tee Higgins,CIN,6,3,44,0,2,28,9.3,16,5.3,9.8,0,,0,0.0,0,74.3
C.J. Uzomah,CIN,3,3,15,1,1,11,3.7,4,1.3,3.7,0,,0,0.0,0,127.1
Tyler Boyd,CIN,3,1,7,0,,6,6.0,1,1.0,6.3,0,,0,0.0,0,42.4
Auden Tate,CIN,1,1,7,1,1,0,0.0,7,7.0,0.0,0,,0,0.0,0,135.4
Drew Sample,CIN,1,0,0,0,,0,,0,,18.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
T.J. Hockenson,DET,11,8,74,0,4,52,6.5,22,2.8,8.2,1,8.0,0,0.0,0,90.7
Kalif Raymond,DET,7,6,37,0,3,21,3.5,16,2.7,5.6,1,6.0,0,0.0,0,88.7
Amon-Ra St. Brown,DET,7,5,26,0,2,22,4.4,4,0.8,9.3,0,,1,14.3,1,37.5
D'Andre Swift,DET,7,5,43,0,2,11,2.2,32,6.4,2.6,1,5.0,1,14.3,0,87.2
KhaDarel Hodge,DET,4,2,9,0,,6,3.0,3,1.5,8.3,0,,0,0.0,0,56.2
Tom Kennedy,DET,1,1,15,0,1,4,4.0,11,11.0,4.0,0,,0,0.0,0,118.7
Jamaal Williams,DET,2,1,-2,0,0,-3,-3.0,1,1.0,1.0,0,,1,50.0,0,56.2
