Quarter,Time,Tm,Detail,TAM,LAR
2.0,12:20,Rams,Tyler Higbee 6 yard pass from Matthew Stafford (Matt Gay kick),0,7
,4:03,Buccaneers,Chris Godwin 2 yard rush (Ryan Succop kick),7,7
,0:51,Rams,Cooper Kupp 2 yard pass from Matthew Stafford (Matt Gay kick),7,14
3.0,14:02,Rams,DeSean Jackson 75 yard pass from Matthew Stafford (Matt Gay kick),7,21
,9:57,Buccaneers,Tom Brady 1 yard rush (Ryan Succop kick),14,21
,7:23,Rams,Cooper Kupp 10 yard pass from Matthew Stafford (Matt Gay kick),14,28
,3:09,Rams,Matt Gay 48 yard field goal,14,31
,1:14,Buccaneers,Ryan Succop 26 yard field goal,17,31
4.0,8:14,Rams,Matt Gay 26 yard field goal,17,34
,1:10,Buccaneers,Giovani Bernard 7 yard pass from Tom Brady (Ryan Succop kick),24,34
