Quarter,Time,Down,ToGo,Location,TAM,LAR,Detail,EPB,EPA
3,15:00,1,10,LAR 25,7,14,Sony Michel right tackle for no gain (tackle by Ndamukong Suh and Shaquil Barrett),,
3,14:19,2,10,LAR 25,7,14,Matthew Stafford pass incomplete deep left intended for Robert Woods,,
3,14:12,3,10,LAR 25,7,20,"Matthew Stafford pass complete deep right to DeSean Jackson for 75 yards, touchdown",,
3,14:02,,,TAM 15,7,21,Matt Gay kicks extra point good,,
3,14:02,,,LAR 35,7,21,"Matt Gay kicks off 65 yards, touchback.",,
3,14:02,1,10,TAM 25,7,21,"Penalty on Donovan Smith: False Start, 5 yards (accepted) (no play)",,
3,14:02,1,15,TAM 20,7,21,Tom Brady pass complete deep left to Mike Evans for 20 yards (tackle by Darious Williams and Taylor Rapp),,
3,13:24,1,10,TAM 40,7,21,Leonard Fournette left guard for 3 yards (tackle by A'Shawn Robinson and Kenny Young),,
3,12:46,2,7,TAM 43,7,21,Tom Brady pass complete short middle to Rob Gronkowski for 15 yards (tackle by Jordan Fuller),,
3,12:12,1,10,LAR 42,7,21,Tom Brady pass incomplete short right,,
3,12:07,2,10,LAR 42,7,21,Tom Brady pass complete short right to Mike Evans for 11 yards (tackle by David Long),,
3,11:32,1,10,LAR 31,7,21,Tom Brady pass complete short right to Rob Gronkowski for 6 yards (tackle by Terrell Lewis),,
3,11:15,2,4,LAR 25,7,21,Tom Brady pass complete short right to Leonard Fournette for 7 yards (tackle by Terrell Lewis),,
3,10:43,1,10,LAR 18,7,21,Tom Brady pass complete short right to Cameron Brate for 17 yards (tackle by Kenny Young),,
3,10:06,1,1,LAR 1,13,21,"Tom Brady up the middle for 1 yard, touchdown",,
3,9:57,,,LAR 15,14,21,Ryan Succop kicks extra point good,,
3,9:57,,,TAM 35,14,21,"Bradley Pinion kicks off 65 yards, touchback.",,
3,9:57,1,10,LAR 25,14,21,Matthew Stafford pass complete short right to Van Jefferson for no gain (tackle by Ross Cockrell),,
3,9:15,2,10,LAR 25,14,21,Matthew Stafford pass incomplete short left intended for Sony Michel,,
3,9:07,3,10,LAR 25,14,21,Matthew Stafford pass complete deep left to Robert Woods for 20 yards (tackle by Dee Delaney),,
3,8:48,1,10,LAR 45,14,21,Matthew Stafford pass incomplete deep right intended for Robert Woods,,
3,8:36,2,10,LAR 45,14,21,Matthew Stafford pass complete short right to DeSean Jackson for 5 yards (tackle by Mike Edwards),,
3,8:12,3,5,LAR 50,14,21,Matthew Stafford pass complete short right to DeSean Jackson for 40 yards (tackle by Antoine Winfield),,
3,7:30,1,10,TAM 10,14,27,"Matthew Stafford pass complete short right to Cooper Kupp for 10 yards, touchdown",,
3,7:23,,,TAM 15,14,28,Matt Gay kicks extra point good,,
3,7:23,,,LAR 35,14,28,"Matt Gay kicks off 65 yards, touchback.",,
3,7:23,1,10,TAM 25,14,28,Tom Brady pass complete short middle to O.J. Howard for 11 yards (tackle by Darious Williams),,
3,6:48,1,10,TAM 36,14,28,Tom Brady scrambles up the middle for 4 yards (tackle by Leonard Floyd),,
3,6:07,2,6,TAM 40,14,28,Tom Brady sacked by Kenny Young for -9 yards,,
3,5:21,3,15,TAM 31,14,28,"Penalty on Scott Miller: False Start, 5 yards (accepted) (no play)",,
3,5:08,3,20,TAM 26,14,28,Tom Brady pass complete short left to Giovani Bernard for -4 yards (tackle by Aaron Donald),,
3,4:33,4,24,TAM 22,14,28,Bradley Pinion punts 15 yards out of bounds,,
3,4:24,1,10,TAM 37,14,28,Sony Michel left tackle for 2 yards (tackle by Ndamukong Suh and Shaquil Barrett),,
3,4:00,2,8,TAM 35,14,28,Matthew Stafford pass incomplete deep right intended for Van Jefferson,,
3,3:52,3,8,TAM 35,14,28,Matthew Stafford pass complete short right to Cooper Kupp for 5 yards (tackle by Mike Edwards),,
3,3:12,4,3,TAM 30,14,31,Matt Gay 48 yard field goal good,,
3,3:09,,,LAR 35,14,31,"Matt Gay kicks off 65 yards, touchback.",,
3,3:09,1,10,TAM 25,14,31,Tom Brady pass complete deep middle to Tyler Johnson for 23 yards (tackle by Taylor Rapp),,
3,2:37,1,10,TAM 48,14,31,Tom Brady pass incomplete short right intended for Tyler Johnson,,
3,2:34,2,10,TAM 48,14,31,Tom Brady pass complete short middle to Mike Evans for 13 yards (tackle by Jordan Fuller),,
3,2:04,1,10,LAR 39,14,31,Tom Brady pass complete deep left to Tyler Johnson for 31 yards (tackle by Taylor Rapp),,
3,1:33,1,8,LAR 8,14,31,Tom Brady pass incomplete short middle intended for Tyler Johnson,,
3,1:27,2,8,LAR 8,14,31,Tom Brady pass incomplete short left intended for Rob Gronkowski,,
3,1:22,3,8,LAR 8,14,31,Tom Brady pass incomplete short left intended for Rob Gronkowski,,
3,1:17,4,8,LAR 8,17,31,Ryan Succop 26 yard field goal good,,
3,1:14,,,TAM 35,17,31,"Bradley Pinion kicks off 65 yards, touchback.",,
3,1:14,1,10,LAR 25,17,31,Sony Michel right tackle for 11 yards (tackle by Carlton Davis),,
3,0:38,1,10,LAR 36,17,31,Sony Michel up the middle for 2 yards (tackle by Rakeem Nunez-Roches and William Gholston),,
Quarter,Time,Down,ToGo,Location,TAM,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,LAR 38,17,31,Matthew Stafford pass complete deep left to Cooper Kupp for 17 yards (tackle by Dee Delaney),,
4,14:16,1,10,TAM 45,17,31,Matthew Stafford pass complete short right to Cooper Kupp for 6 yards (tackle by Carlton Davis),,
4,13:31,2,4,TAM 39,17,31,Sony Michel right tackle for 3 yards (tackle by Ross Cockrell),,
4,13:09,3,1,TAM 36,17,31,Sony Michel up the middle for 1 yard (tackle by Devin White),,
4,12:25,1,10,TAM 35,17,31,Matthew Stafford pass complete short left to Sony Michel for 4 yards (tackle by William Gholston),,
4,11:46,2,6,TAM 31,17,31,Sony Michel up the middle for 4 yards (tackle by Devin White and Ross Cockrell),,
4,11:00,3,2,TAM 27,17,31,Matthew Stafford pass complete short left to Van Jefferson for 10 yards (tackle by Lavonte David),,
4,10:21,1,10,TAM 17,17,31,Sony Michel up the middle for 1 yard (tackle by Lavonte David),,
4,9:33,2,9,TAM 16,17,31,Robert Woods right tackle for 5 yards (tackle by Joe Tryon-Shoyinka),,
4,8:56,3,4,TAM 11,17,31,Matthew Stafford pass complete short left to Cooper Kupp for 3 yards (tackle by Devin White),,
4,8:17,,,,,,Timeout #1 by Los Angeles Rams,,
4,8:17,4,1,TAM 8,17,34,Matt Gay 26 yard field goal good,,
4,8:14,,,LAR 35,17,34,"Matt Gay kicks off 66 yards, returned by Jaelon Darden for 24 yards (tackle by Ben Skowronek)",,
4,8:07,1,10,TAM 23,17,34,Tom Brady pass complete deep right to Mike Evans for 17 yards (tackle by David Long),,
4,7:47,1,10,TAM 40,17,34,Tom Brady pass incomplete deep right intended for Rob Gronkowski,,
4,7:42,2,10,TAM 40,17,34,Tom Brady pass incomplete short left intended for Scott Miller (defended by Taylor Rapp),,
4,7:37,,,,,,Timeout #2 by Los Angeles Rams,,
4,7:37,3,10,TAM 40,17,34,Tom Brady pass complete short left to Rob Gronkowski for 8 yards (tackle by Justin Hollins),,
4,7:12,4,2,TAM 48,17,34,Tom Brady pass incomplete short left intended for Giovani Bernard,,
4,7:10,1,10,TAM 48,17,34,Sony Michel left end for 15 yards (tackle by Antoine Winfield),,
4,6:26,1,10,TAM 33,17,34,Matthew Stafford sacked by William Gholston for -12 yards,,
4,5:49,2,22,TAM 45,17,34,Sony Michel right tackle for no gain (tackle by Lavonte David),,
4,5:07,3,22,TAM 45,17,34,Sony Michel left end for 6 yards (tackle by Mike Edwards),,
4,4:56,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
4,4:56,4,16,TAM 39,17,34,"Johnny Hekker punts 27 yards, fair catch by Jaelon Darden at TB-12. Penalty on Grant Stuard: Defensive Offside, 5 yards (declined)",,
4,4:50,1,10,TAM 12,17,34,Tom Brady pass complete short right to Giovani Bernard for -2 yards (tackle by Kenny Young),,
4,4:24,2,11,TAM 10,17,34,Tom Brady pass complete short middle to Chris Godwin for 11 yards (tackle by Jalen Ramsey),,
4,3:57,3,1,TAM 21,17,34,Tom Brady pass complete short left to Giovani Bernard for 8 yards (tackle by Jalen Ramsey),,
4,3:48,1,10,TAM 29,17,34,Tom Brady pass complete short right to Mike Evans for 5 yards (tackle by Kenny Young and Jordan Fuller),,
4,3:22,2,5,TAM 34,17,34,Tom Brady pass complete short right to Cameron Brate for 5 yards (tackle by Taylor Rapp),,
4,3:02,1,10,TAM 39,17,34,Tom Brady pass complete deep middle to Chris Godwin for 21 yards (tackle by Nick Scott and Jordan Fuller),,
4,2:43,1,10,LAR 40,17,34,Tom Brady pass incomplete deep left intended for Cameron Brate,,
4,2:34,2,10,LAR 40,17,34,Tom Brady pass complete short middle to Giovani Bernard for -1 yards (tackle by Greg Gaines),,
4,2:15,3,11,LAR 41,17,34,Tom Brady scrambles right end for 9 yards (tackle by Jalen Ramsey),,
4,2:00,4,2,LAR 32,17,34,Tom Brady pass complete short left to Chris Godwin for 13 yards (tackle by David Long),,
4,1:44,1,10,LAR 19,17,34,Tom Brady sacked by Leonard Floyd for -6 yards,,
4,1:40,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
4,1:40,2,16,LAR 25,17,34,Tom Brady pass complete short right to Tyler Johnson for 9 yards (tackle by Taylor Rapp),,
4,1:21,3,7,LAR 16,17,34,Tom Brady pass complete short left to Mike Evans for 9 yards (tackle by Darious Williams),,
4,1:14,1,7,LAR 7,23,34,"Tom Brady pass complete short middle to Giovani Bernard for 7 yards, touchdown",,
4,1:10,,,LAR 15,24,34,Ryan Succop kicks extra point good,,
4,1:10,,,TAM 35,24,34,"Ryan Succop kicks onside 16 yards, returned by Cooper Kupp for no gain",,
4,1:07,1,10,LAR 49,24,34,Matthew Stafford kneels for -1 yards,,
4,0:33,2,11,LAR 48,24,34,Matthew Stafford kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
