Unnamed: 0,TAM,LAR
First Downs,27,22
Rush-Yds-TDs,13-35-2,24-76-0
Cmp-Att-Yd-TD-INT,41-55-432-1-0,27-38-343-4-0
Sacked-Yards,3-21,1-12
Net Pass Yards,411,331
Total Yards,446,407
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,7-41,1-4
Third Down Conv.,6-13,10-15
Fourth Down Conv.,1-2,0-0
Time of Possession,29:50,30:10
