Quarter,Time,Tm,Detail,DET,ARI
1.0,12:02,Cardinals,Michael Floyd 42 yard pass from Drew Stanton (Chandler Catanzaro kick),0,7
,6:06,Cardinals,Michael Floyd 12 yard pass from Drew Stanton (Chandler Catanzaro kick),0,14
,2:46,Lions,Matt Prater 50 yard field goal,3,14
2.0,0:25,Lions,Matt Prater 28 yard field goal,6,14
