Quarter,Time,Down,ToGo,Location,NYJ,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Olindo Mare kicks off 70 yards, returned by Leon Washington for 20 yards (tackle by Brandon Miller)",0.000,0.280
1,14:56,1,10,NYJ 20,0,0,Thomas Jones left guard for 4 yards (tackle by Lofa Tatupu),0.280,0.270
1,14:17,2,6,NYJ 24,0,0,Brett Favre pass complete short left to Jerricho Cotchery for 21 yards (tackle by Brian Russell),0.270,1.930
1,13:44,1,10,NYJ 45,0,0,Brett Favre pass complete short right to Brad Smith for 5 yards (tackle by Brandon Mebane),1.930,2.060
1,13:12,2,5,,0,0,Thomas Jones right tackle for 4 yards (tackle by Deon Grant),2.060,1.880
1,12:37,3,1,SEA 46,0,0,Tony Richardson up the middle for 8 yards (tackle by Julian Peterson),1.880,3.050
1,12:00,1,10,SEA 38,0,0,Tony Richardson up the middle for 16 yards (tackle by Brian Russell),3.050,4.110
1,11:27,1,10,SEA 22,0,0,Brett Favre pass complete short middle to Dustin Keller for 2 yards (tackle by Rocky Bernard),4.110,3.830
1,10:49,2,8,SEA 20,0,0,Thomas Jones left end for 4 yards (tackle by Will Herring),3.830,3.740
1,10:09,3,4,SEA 16,0,0,Brett Favre pass complete short middle to Laveranues Coles for 5 yards (tackle by Lofa Tatupu),3.740,4.840
1,9:20,1,10,SEA 11,0,0,Brett Favre pass incomplete short middle intended for Laveranues Coles,4.840,4.140
1,9:17,2,10,SEA 11,0,0,Tony Richardson up the middle for 4 yards (tackle by Julian Peterson and Lofa Tatupu),4.140,3.980
1,8:34,3,6,SEA 7,0,0,Brett Favre pass complete short right to Jerricho Cotchery for 5 yards (tackle by Deon Grant),3.980,3.250
1,8:11,4,1,SEA 2,3,0,Jay Feely 20 yard field goal good,3.250,3.000
1,,,,NYJ 30,3,0,"Jay Feely kicks off 59 yards, returned by Josh Wilson for 21 yards (tackle by Jason Trusnik)",0.000,1.070
1,8:02,1,10,SEA 32,3,0,"Seneca Wallace pass complete short left to Bobby Engram for 9 yards (tackle by Ty Law). Bobby Engram fumbles (forced by Ty Law), ball out of bounds at SEA-41",1.070,1.740
1,7:28,2,1,SEA 41,3,0,Maurice Morris right tackle for 5 yards (tackle by David Harris),1.740,1.990
1,7:10,1,10,SEA 46,3,0,Seneca Wallace pass incomplete short right intended for Deion Branch (defended by Kris Jenkins),1.990,1.450
1,7:06,2,10,SEA 46,3,0,Maurice Morris right guard for 3 yards (tackle by Kenyon Coleman),1.450,1.160
1,6:28,3,7,SEA 49,3,0,Seneca Wallace pass incomplete short right intended for Leonard Weaver,1.160,-0.130
1,6:22,4,7,SEA 49,3,0,"Jon Ryan punts 42 yards, fair catch by Leon Washington",-0.130,0.380
1,6:14,1,10,NYJ 9,3,0,Thomas Jones up the middle for 4 yards (tackle by Lofa Tatupu),-0.380,-0.480
1,5:39,2,6,NYJ 13,3,0,Brett Favre pass complete short right to Jerricho Cotchery for 9 yards (tackle by Brian Russell),-0.480,0.410
1,4:56,1,10,NYJ 22,3,0,Brett Favre pass complete short left to Thomas Jones for 14 yards (tackle by Will Herring),0.410,1.330
1,4:21,1,10,NYJ 36,3,0,Leon Washington right guard for 5 yards (tackle by Rocky Bernard),1.330,1.470
1,3:37,2,5,NYJ 41,3,0,Brett Favre pass complete short right to Thomas Jones for 7 yards (tackle by Will Herring),1.470,2.130
1,2:55,1,10,NYJ 48,3,0,Thomas Jones left guard for 4 yards (tackle by Brandon Mebane),2.130,2.120
1,2:14,2,6,SEA 48,3,0,"Brett Favre pass incomplete short right intended for Dustin Keller. Penalty on Brandon Moore: Offensive Holding, 10 yards (no play)",2.120,0.770
1,2:10,2,16,NYJ 42,3,0,"Brett Favre pass incomplete short left intended for Thomas Jones. Penalty on Nick Mangold: Ineligible Downfield Pass, 5 yards (no play)",0.770,0.100
1,2:05,2,21,NYJ 37,3,0,Leon Washington left tackle for 6 yards (tackle by Lofa Tatupu),0.100,0.230
1,1:27,3,15,NYJ 43,3,0,Brett Favre pass complete short right to Brad Smith for -2 yards (tackle by Rocky Bernard),0.230,-0.650
1,0:49,4,17,NYJ 41,3,0,"Reggie Hodges punts 44 yards, fair catch by Justin Forsett",-0.650,0.220
1,0:41,1,10,SEA 15,3,0,Maurice Morris right end for 13 yards (tackle by David Harris and Kerry Rhodes),-0.220,0.810
1,0:10,1,10,SEA 28,3,0,Seneca Wallace pass complete short middle to John Carlson for 10 yards (tackle by Kerry Rhodes),0.810,1.470
