Quarter,Time,Tm,Detail,NYJ,SEA
1,8:07,Jets,Jay Feely 20 yard field goal,3,0
2,0:31,Seahawks,John Carlson 2 yard pass from Seneca Wallace (Olindo Mare kick),3,7
3,2:42,Seahawks,Olindo Mare 31 yard field goal,3,10
4,1:47,Seahawks,Olindo Mare 38 yard field goal,3,13
