Quarter,Time,Down,ToGo,Location,DET,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 56 yards, returned by Darius Reynaud for 20 yards (tackle by John Wendling)",0.000,1.200
1,14:55,1,10,NYG 34,0,0,Eli Manning pass incomplete short left intended for Hakeem Nicks (defended by Alphonso Smith),1.200,0.660
1,14:52,2,10,NYG 34,0,0,Ahmad Bradshaw right tackle for 6 yards (tackle by Ashlee Palmer and Cliff Avril),0.660,0.760
1,14:14,3,4,NYG 40,0,0,Eli Manning pass complete short left to Steve Smith for 8 yards (tackle by Jonathan Wade),0.760,2.130
1,13:35,1,10,NYG 48,0,0,Eli Manning sacked by Kyle Vanden Bosch and Ndamukong Suh for -5 yards,2.130,0.910
1,13:03,2,15,NYG 43,0,0,Eli Manning pass complete short right to Kevin Boss for 2 yards (tackle by C.C. Brown),0.910,0.500
1,12:27,3,13,NYG 45,0,0,"Penalty on Corey Williams: Encroachment, 5 yards (no play)",0.500,1.160
1,12:04,3,8,,0,0,Eli Manning pass incomplete deep middle intended for Hakeem Nicks,1.160,-0.060
1,11:51,4,8,,0,0,"Matt Dodge for no gain. Matt Dodge fumbles, recovered by Lawrence Jackson at NYG-43 (tackle by Chase Blackburn)",-0.060,-2.720
1,11:45,1,10,NYG 43,0,0,Shaun Hill pass complete short left to Jahvid Best for 8 yards (tackle by Deon Grant),2.720,3.260
1,11:20,2,2,NYG 35,0,0,Jahvid Best middle for 1 yard (tackle by Barry Cofield),3.260,2.680
1,10:54,3,1,NYG 34,0,0,Jahvid Best left guard for 1 yard (tackle by Michael Boley),2.680,3.380
1,10:22,1,10,NYG 33,0,0,Jerome Felton right guard for 8 yards (tackle by Kenny Phillips),3.380,3.920
1,9:51,2,2,NYG 25,0,0,Jahvid Best right end for 1 yard (tackle by Michael Boley),3.920,3.340
1,9:15,3,1,NYG 24,0,0,Jahvid Best left tackle for 1 yard (tackle by Jonathan Goff and Antrel Rolle),3.340,4.040
1,8:45,1,10,NYG 23,0,0,Shaun Hill pass incomplete deep left intended for Calvin Johnson,4.040,3.500
1,8:35,2,10,NYG 23,0,0,Shaun Hill pass complete short left to Jahvid Best for 9 yards (tackle by Michael Boley),3.500,4.280
1,7:53,3,1,NYG 14,6,0,"Shaun Hill pass complete short left to Nate Burleson for 14 yards, touchdown",4.280,7.000
1,,,,NYG 2,7,0,Jason Hanson kicks extra point good,0.000,0.000
1,,,,DET 30,7,0,"Jason Hanson kicks off 68 yards, returned by Darius Reynaud for 23 yards (tackle by Zack Follett)",0.000,0.610
1,7:39,1,10,NYG 25,7,0,Ahmad Bradshaw right guard for 15 yards (tackle by Cliff Avril and Louis Delmas),0.610,1.600
1,7:06,1,10,NYG 40,7,0,Ahmad Bradshaw left tackle for -1 yards (tackle by Kyle Vanden Bosch and Corey Williams),1.600,0.920
1,6:26,2,11,NYG 39,7,0,Ahmad Bradshaw left end for 1 yard (tackle by Julian Peterson and Kyle Vanden Bosch),0.920,0.370
1,5:48,3,10,NYG 40,7,0,Eli Manning pass incomplete intended for Steve Smith (defended by Cliff Avril),0.370,-0.720
1,5:34,4,10,NYG 40,7,0,Matt Dodge punts 56 yards,-0.720,0.380
1,5:23,1,10,DET 4,7,0,Jahvid Best right guard for 1 yard (tackle by Michael Boley and Clint Sintim),-0.380,-0.710
1,4:50,2,9,DET 5,7,0,Shaun Hill pass incomplete short left intended for Brandon Pettigrew,-0.710,-1.300
1,4:41,3,9,DET 5,7,0,Shaun Hill pass complete short right to Brandon Pettigrew for 3 yards (tackle by Michael Boley and Jonathan Goff),-1.300,-2.490
1,4:10,4,6,DET 8,7,0,"Nick Harris punts 52 yards, returned by Darius Reynaud for 20 yards (tackle by Jonathan Wade)",-2.490,-2.920
1,3:53,1,10,DET 40,7,0,Eli Manning pass complete deep middle to Steve Smith for 20 yards (tackle by C.C. Brown),2.920,4.240
1,3:19,1,10,DET 20,7,0,Brandon Jacobs middle for 6 yards (tackle by Zack Follett),4.240,4.640
1,2:44,2,4,DET 14,7,0,Eli Manning pass complete short left to Hakeem Nicks for -1 yards (tackle by Alphonso Smith),4.640,3.700
1,1:56,3,5,DET 15,7,0,Eli Manning pass complete short right to Steve Smith for 11 yards (tackle by Louis Delmas). Penalty on Alphonso Smith: Defensive Offside (Declined),3.700,6.280
1,1:37,1,4,DET 4,7,6,"Brandon Jacobs left guard for 4 yards, touchdown",6.280,7.000
