Unnamed: 0,DET,NYG
First Downs,16,24
Rush-Yds-TDs,21-64-0,30-167-2
Cmp-Att-Yd-TD-INT,28-49-313-2-1,20-30-177-2-0
Sacked-Yards,2-11,2-10
Net Pass Yards,302,167
Total Yards,366,334
Fumbles-Lost,5-2,1-1
Turnovers,3,1
Penalties-Yards,11-91,2-15
Third Down Conv.,9-20,5-13
Fourth Down Conv.,2-2,0-1
Time of Possession,27:18,32:42
