Quarter,Time,Tm,Detail,TAM,NYJ
1.0,12:04,Jets,Braxton Berrios 1 yard rush (Eddy Pineiro kick),0,7
,5:43,Buccaneers,Mike Evans 4 yard pass from Tom Brady (Ryan Succop kick),7,7
2.0,13:43,Jets,Braxton Berrios 9 yard pass from Zach Wilson (Eddy Pineiro kick),7,14
,10:50,Buccaneers,Ryan Succop 39 yard field goal,10,14
,0:01,Jets,Eddy Pineiro 51 yard field goal,10,17
3.0,6:56,Jets,Ty Johnson 1 yard rush (Eddy Pineiro kick),10,24
,0:29,Buccaneers,Cameron Brate 4 yard pass from Tom Brady (Ryan Succop kick),17,24
4.0,7:36,Buccaneers,Ryan Succop 27 yard field goal,20,24
,0:15,Buccaneers,Cyril Grayson 33 yard pass from Tom Brady (Le'Veon Bell run),28,24
