Unnamed: 0,MIN,DET
First Downs,24,19
Rush-Yds-TDs,22-89-0,23-70-2
Cmp-Att-Yd-TD-INT,30-44-396-2-2,23-32-320-2-0
Sacked-Yards,4-37,1-9
Net Pass Yards,359,311
Total Yards,448,381
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-77,4-20
Third Down Conv.,2-13,1-9
Fourth Down Conv.,2-3,2-2
Time of Possession,34:59,25:01
