Unnamed: 0,CIN,CLE
First Downs,27,17
Rush-Yds-TDs,31-179-1,27-146-2
Cmp-Att-Yd-TD-INT,23-39-288-0-1,11-24-192-0-2
Sacked-Yards,2-16,1-5
Net Pass Yards,272,187
Total Yards,451,333
Fumbles-Lost,1-0,0-0
Turnovers,1,2
Penalties-Yards,8-99,6-30
Third Down Conv.,3-12,7-12
Fourth Down Conv.,1-2,0-0
Time of Possession,34:31,25:29
