Quarter,Time,Tm,Detail,CIN,CLE
1.0,10:56,Bengals,Randy Bullock 34 yard field goal,3,0
,5:36,Browns,Denzel Ward 61 yard interception return (Austin Seibert kick),3,7
,1:37,Bengals,Randy Bullock 44 yard field goal,6,7
2.0,12:07,Bengals,Joe Mixon 1 yard rush (Randy Bullock kick),13,7
,6:37,Browns,Baker Mayfield 7 yard rush (Austin Seibert kick),13,14
3.0,12:10,Browns,Kareem Hunt 3 yard rush (Austin Seibert kick),13,21
,4:39,Bengals,Randy Bullock 28 yard field goal,16,21
,0:16,Browns,Austin Seibert 53 yard field goal,16,24
4.0,1:06,Browns,Austin Seibert 31 yard field goal,16,27
,0:12,Bengals,Randy Bullock 46 yard field goal,19,27
