Quarter,Time,Tm,Detail,NYG,WAS
1.0,6:29,Giants,Saquon Barkley 24 yard pass from Tommy DeVito (Randy Bullock kick),7,0
,2:12,Commanders,Joey Slye 23 yard field goal,7,3
2.0,6:07,Giants,Darius Slayton 40 yard pass from Tommy DeVito (Randy Bullock kick),14,3
,1:32,Commanders,Sam Howell 7 yard rush (Joey Slye kick failed),14,9
3.0,5:43,Commanders,Joey Slye 42 yard field goal,14,12
4.0,13:32,Giants,Saquon Barkley 5 yard pass from Tommy DeVito (Randy Bullock kick),21,12
,6:48,Giants,Randy Bullock 36 yard field goal,24,12
,2:20,Commanders,Jahan Dotson 8 yard pass from Sam Howell (Joey Slye kick),24,19
,0:16,Giants,Isaiah Simmons 54 yard interception return (Randy Bullock kick),31,19
