#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,11:56,WAS 20,4,1:55,15,Interception
2,1,8:24,WAS 36,2,0:45,16,Fumble
3,1,6:29,WAS 25,9,4:17,70,Field Goal
4,1,0:04,WAS 26,3,1:22,8,Punt
5,2,10:11,WAS 35,3,1:28,-6,Punt
6,2,5:58,WAS 25,12,4:26,75,Touchdown
7,2,1:10,WAS 41,3,1:10,-7,End of Half
9,3,13:20,WAS 8,13,7:37,68,Field Goal
10,3,3:40,WAS 23,5,2:58,45,Fumble
11,4,13:32,WAS 25,5,2:21,13,Interception
12,4,6:48,WAS 25,12,4:32,75,Touchdown
13,4,1:49,WAS 19,7,1:33,33,Interception
14,4,0:16,WAS 39,1,0:16,23,End of Game
