Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,MIN 30,0,0,"Ryan Longwell kicks off 72 yards, returned by Andre Hall for 19 yards (tackle by Heath Farwell)",0.000,-0.060
1,14:55,1,10,DEN 17,0,0,Jay Cutler pass complete short right to Javon Walker for 9 yards,-0.060,0.750
1,14:20,2,1,DEN 26,0,0,Jay Cutler pass complete short right to Chad Mustard for 14 yards (tackle by Chad Greenway),0.750,1.600
1,13:53,1,10,DEN 40,0,0,Jay Cutler pass incomplete short right intended for Cecil Sapp,1.600,1.050
1,13:51,2,10,DEN 40,0,0,"Penalty on Erik Pears: False Start, 5 yards (no play)",1.050,0.380
1,13:51,2,15,DEN 35,0,0,Jay Cutler pass complete short middle to Chad Mustard for 12 yards (tackle by E.J. Henderson),0.380,1.290
1,13:14,3,3,DEN 47,0,0,Jay Cutler pass incomplete short middle intended for Tony Scheffler (defended by Darren Sharper),1.290,-0.260
1,13:09,4,3,DEN 47,0,0,"Sam Paulescu punts 37 yards, returned by Mewelde Moore for 5 yards (tackle by Mike Leach)",-0.260,-0.340
1,12:59,1,10,MIN 21,0,0,Chester Taylor left guard for 2 yards (tackle by John Lynch),0.340,0.070
1,12:27,2,8,MIN 23,0,0,Chester Taylor right end for 2 yards (tackle by Jamie Winborn),0.070,-0.360
1,11:45,3,6,MIN 25,0,0,Tarvaris Jackson pass complete short left to Chester Taylor for 10 yards (tackle by D.J. Williams),-0.360,1.270
1,11:09,1,10,MIN 35,0,0,Chester Taylor up the middle for 3 yards (tackle by D.J. Williams),1.270,1.130
1,10:33,2,7,MIN 38,0,0,Mewelde Moore right end for 5 yards (tackle by Jamie Winborn and Elvis Dumervil),1.130,1.090
1,9:52,3,2,MIN 43,0,0,Tarvaris Jackson pass complete short middle to Garrett Mills for 18 yards (tackle by John Lynch),1.090,2.980
1,9:12,1,10,DEN 39,0,0,Chester Taylor left tackle for 24 yards (tackle by Dre' Bly and John Lynch),2.980,4.580
1,8:30,1,10,DEN 15,0,0,Tarvaris Jackson pass incomplete short right intended for Tony Richardson,4.580,3.950
1,8:23,2,10,DEN 15,0,0,Mewelde Moore left tackle for 12 yards (tackle by Hamza Abdullah),3.950,6.510
1,7:42,1,3,DEN 3,0,0,Chester Taylor right end for 2 yards. Chester Taylor fumbles,6.510,-0.280
,,,,,,,"DEN challenged the runner broke the plane ruling, and the original play was overturned.",,
1,7:35,1,10,DEN 20,0,0,Jay Cutler pass complete short left to Cecil Sapp for 1 yard (tackle by Kenechi Udeze),0.280,-0.130
1,6:59,2,9,DEN 21,0,0,"Selvin Young for -7 yards (tackle by Darren Sharper). Jay Cutler fumbles, recovered by Jay Cutler at DEN-21",-0.130,-2.030
1,6:16,3,16,DEN 14,0,0,Jay Cutler pass incomplete short right intended for Javon Walker,-2.030,-2.470
1,6:07,4,16,DEN 14,0,0,"Sam Paulescu punts 49 yards, returned by Mewelde Moore for 3 yards (tackle by Jordan Beck)",-2.470,-1.600
1,5:56,1,10,MIN 40,0,0,Tarvaris Jackson pass complete short right to Robert Ferguson for 4 yards (tackle by Champ Bailey),1.600,1.590
1,5:17,2,6,MIN 44,0,0,Adrian Peterson left tackle for 5 yards (tackle by Elvis Dumervil),1.590,1.550
1,4:32,3,1,MIN 49,0,0,Adrian Peterson up the middle for 4 yards (tackle by Marcus Thomas),1.550,2.460
1,3:57,1,10,DEN 47,0,0,Adrian Peterson right end for no gain (tackle by Champ Bailey),2.460,1.910
1,3:20,2,10,DEN 47,0,0,Tarvaris Jackson pass incomplete short right intended for Troy Williamson (defended by Hamza Abdullah),1.910,1.220
1,3:14,3,10,DEN 47,0,0,Chester Taylor up the middle for 22 yards (tackle by Dre' Bly),1.220,3.910
1,2:38,1,10,DEN 25,0,0,Adrian Peterson right end for 3 yards (tackle by Kenny Peterson and Steven Harris),3.910,3.770
1,1:52,2,7,DEN 22,0,0,Adrian Peterson left guard for 2 yards (tackle by John Engelberger),3.770,3.340
1,1:10,3,5,DEN 20,0,0,Tarvaris Jackson pass complete short left to Garrett Mills for 8 yards (tackle by John Lynch),3.340,4.780
1,0:38,1,10,DEN 12,0,0,Tarvaris Jackson pass incomplete short right intended for Chester Taylor (defended by Champ Bailey),4.780,4.100
1,0:32,2,10,DEN 12,0,0,Adrian Peterson left end for 8 yards (tackle by Dre' Bly),4.100,4.840
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,DEN 4,0,0,Tarvaris Jackson pass incomplete short right intended for Bobby Wade,4.840,3.040
2,14:55,4,2,DEN 4,3,0,Ryan Longwell 22 yard field goal good,3.040,3.000
2,14:55,,,MIN 30,3,0,"Ryan Longwell kicks off 68 yards, returned by Andre Hall for 24 yards (tackle by Ronyell Whitaker)",0.000,0.670
2,14:46,1,10,DEN 26,3,0,Selvin Young left tackle for 12 yards (tackle by Cedric Griffin),0.670,1.470
2,14:16,1,10,DEN 38,3,0,Selvin Young left tackle for 7 yards (tackle by Kenechi Udeze),1.470,1.870
2,13:41,2,3,DEN 45,3,0,Selvin Young left end for 20 yards (tackle by Darren Sharper),1.870,3.250
2,12:59,1,10,MIN 35,3,0,Jay Cutler pass complete short right to Tony Scheffler for 11 yards (tackle by Ben Leber),3.250,3.970
2,12:17,1,10,MIN 24,3,0,"Jay Cutler pass incomplete short right intended for Glenn Martinez (defended by E.J. Henderson). Penalty on E.J. Henderson: Unnecessary Roughness, 12 yards (no play)",3.970,4.780
2,12:13,1,10,MIN 12,3,0,Selvin Young right tackle for -3 yards (tackle by Kenechi Udeze),4.780,3.660
2,11:32,2,13,MIN 15,3,6,"Jay Cutler pass complete short left to Brandon Marshall for 15 yards, touchdown",3.660,7.000
2,11:32,,,MIN 2,3,7,Jason Elam kicks extra point good,0.000,0.000
2,11:32,,,DEN 30,3,7,"Matt Prater kicks off 70 yards, returned by Adrian Peterson for 31 yards (tackle by Karl Paymah)",0.000,-1.000
2,11:18,1,10,MIN 31,3,7,Adrian Peterson left end for 3 yards (tackle by Jamie Winborn),1.000,0.870
2,10:39,2,7,MIN 34,3,7,Chester Taylor left tackle for 2 yards (tackle by John Lynch),0.870,0.430
2,9:58,3,5,MIN 36,3,7,Tarvaris Jackson sacked by Josh Mallard and Elvis Dumervil for -3 yards. Penalty on Ryan Cook: Offensive Holding (Declined),0.430,-1.180
2,9:35,4,8,MIN 33,3,7,"Chris Kluwe punts 51 yards, out of bounds",-1.180,0.060
2,9:27,1,10,DEN 17,3,7,Jay Cutler pass complete short right to Brandon Marshall for 15 yards (tackle by Kenechi Udeze),-0.060,1.070
2,8:52,1,10,DEN 32,3,7,Selvin Young right tackle for 4 yards (tackle by Spencer Johnson),1.070,1.070
2,8:19,2,6,DEN 36,3,7,Jay Cutler sacked by Ben Leber for -12 yards,1.070,-1.220
2,7:38,3,18,DEN 24,3,7,Jay Cutler pass complete short left to Tony Scheffler for 9 yards (tackle by E.J. Henderson),-1.220,-1.180
2,6:59,4,9,DEN 33,3,7,"Sam Paulescu punts 40 yards, out of bounds",-1.180,-0.810
2,6:51,1,10,MIN 28,3,7,Tarvaris Jackson pass incomplete deep middle intended for Troy Williamson,0.810,0.260
2,6:44,2,10,MIN 28,3,7,Chester Taylor up the middle for 13 yards (tackle by Hamza Abdullah),0.260,1.660
2,6:10,1,10,MIN 41,3,7,"Chester Taylor left tackle for 7 yards (tackle by John Engelberger). Chester Taylor fumbles (forced by John Engelberger), recovered by Elvis Dumervil at MIN-48 (tackle by Steve Hutchinson)",1.660,-2.390
2,6:03,1,10,MIN 48,3,7,"Jay Cutler pass complete short left to Brandon Marshall for 11 yards (tackle by Chad Greenway). Brandon Marshall fumbles (forced by Chad Greenway), recovered by Brandon Marshall at MIN-37",2.390,3.120
2,5:13,1,10,MIN 37,3,7,Selvin Young left tackle for 6 yards (tackle by E.J. Henderson and Kenechi Udeze),3.120,3.380
2,4:37,2,4,MIN 31,3,7,"Selvin Young left end for 31 yards. Penalty on Chris Kuper: Offensive Holding, 10 yards (no play)",3.380,2.030
2,4:24,2,14,MIN 41,3,7,Jay Cutler pass complete short middle to Chad Mustard for 15 yards (tackle by Dwight Smith),2.030,3.840
2,3:49,1,10,MIN 26,3,7,Andre Hall left end for 10 yards (tackle by Ben Leber),3.840,4.510
2,3:10,1,10,MIN 16,3,7,Jay Cutler pass complete short right to Brandon Marshall for 15 yards (tackle by Kenechi Udeze),4.510,6.970
2,2:32,1,1,MIN 1,3,7,Selvin Young right tackle for -1 yards (tackle by Chad Greenway),6.970,5.720
2,2:00,2,2,MIN 2,3,13,"Jay Cutler pass complete short right to Tony Scheffler for 2 yards, touchdown",5.720,7.000
2,2:00,,,MIN 2,3,14,Jason Elam kicks extra point good,0.000,0.000
2,2:00,,,DEN 30,3,14,"Matt Prater kicks off 70 yards, touchback",0.000,-0.280
2,1:54,1,10,MIN 20,3,14,Chester Taylor left tackle for 6 yards (tackle by John Lynch),0.280,0.540
2,1:32,2,4,MIN 26,3,14,Tarvaris Jackson pass incomplete short left intended for Bobby Wade,0.540,-0.160
2,1:27,3,4,MIN 26,3,14,Tarvaris Jackson pass complete short right to Chester Taylor for -3 yards (tackle by Jamie Winborn),-0.160,-1.830
2,1:20,3,4,MIN 26,3,14,Timeout #1 by Denver Broncos,-0.160,-1.830
2,1:20,4,7,MIN 23,3,14,"Chris Kluwe punts 46 yards, returned by Glenn Martinez for 3 yards (tackle by Eric Frampton). Penalty on Domonique Foxworth: Unnecessary Roughness, 15 yards",-1.830,-0.150
2,1:10,1,10,DEN 19,3,14,Selvin Young right end for 8 yards (tackle by E.J. Henderson),0.150,0.750
2,0:38,2,2,DEN 27,3,14,Selvin Young up the middle for 1 yard (tackle by E.J. Henderson),0.750,0.100
Quarter,Time,Down,ToGo,Location,MIN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 30,3,14,"Matt Prater kicks off 68 yards, returned by Adrian Peterson for 31 yards (tackle by Taylor Jacobs)",0.000,-1.140
3,14:52,1,10,MIN 33,3,14,Adrian Peterson up the middle for 4 yards (tackle by John Lynch),1.140,1.130
