Quarter,Time,Tm,Detail,MIN,DEN
2,14:51,Vikings,Ryan Longwell 22 yard field goal,3,0
,11:25,Broncos,Brandon Marshall 15 yard pass from Jay Cutler (Jason Elam kick),3,7
,1:54,Broncos,Tony Scheffler 2 yard pass from Jay Cutler (Jason Elam kick),3,14
3,7:35,Broncos,Jason Elam 43 yard field goal,3,17
4,13:04,Broncos,"Safety,",3,19
,5:18,Vikings,Bobby Wade 5 yard pass from Tarvaris Jackson (Tarvaris Jackson run),11,19
,2:21,Vikings,Bobby Wade 22 yard pass from Tarvaris Jackson (Tarvaris Jackson run),19,19
OT,14:08,Broncos,Jason Elam 30 yard field goal,19,22
