Unnamed: 0,MIN,DEN
First Downs,16,21
Rush-Yds-TDs,27-172-0,27-128-0
Cmp-Att-Yd-TD-INT,16-31-175-2-0,26-37-246-2-0
Sacked-Yards,3-15,1-12
Net Pass Yards,160,234
Total Yards,332,362
Fumbles-Lost,4-3,2-0
Turnovers,3,0
Penalties-Yards,4-30,5-40
Third Down Conv.,7-14,3-12
Fourth Down Conv.,1-1,1-3
Time of Possession,27:28,33:24
