0,1
Game Info,Game Info
Won Toss,Ravens (deferred)
Roof,outdoors
Surface,dessograss
Duration,3:35
Attendance,65350
Weather,"26 degrees, relative humidity 69%, wind 12 mph, wind chill 15"
Vegas Line,Pittsburgh Steelers -6.0
Over/Under,35.5 (over)
