Quarter,Time,Tm,Detail,BAL,PIT
1.0,11:22,Steelers,Jeff Reed 34 yard field goal,0,3
,6:11,Steelers,Jeff Reed 42 yard field goal,0,6
2.0,13:58,Steelers,Santonio Holmes 65 yard pass from Ben Roethlisberger (Jeff Reed kick),0,13
,2:40,Ravens,Willis McGahee 3 yard rush (Matt Stover kick),7,13
3.0,3:38,Steelers,Jeff Reed 46 yard field goal,7,16
4.0,9:29,Ravens,Willis McGahee 1 yard rush (Matt Stover kick),14,16
,4:24,Steelers,Troy Polamalu 40 yard interception return (Jeff Reed kick),14,23
