Unnamed: 0,BAL,PIT
First Downs,13,11
Rush-Yds-TDs,25-73-2,28-52-0
Cmp-Att-Yd-TD-INT,13-30-141-0-3,16-33-255-1-0
Sacked-Yards,3-16,4-32
Net Pass Yards,125,223
Total Yards,198,275
Fumbles-Lost,3-1,2-1
Turnovers,4,1
Penalties-Yards,6-53,6-67
Third Down Conv.,3-13,7-18
Fourth Down Conv.,0-1,0-0
Time of Possession,26:51,33:09
