Unnamed: 0,SFO,CHI
First Downs,10,14
Rush-Yds-TDs,23-62-0,33-120-0
Cmp-Att-Yd-TD-INT,16-36-122-0-1,13-25-168-1-1
Sacked-Yards,3-22,5-34
Net Pass Yards,100,134
Total Yards,162,254
Fumbles-Lost,2-1,2-2
Turnovers,2,3
Penalties-Yards,5-30,8-58
Third Down Conv.,3-16,3-14
Fourth Down Conv.,1-2,1-1
Time of Possession,26:55,33:05
