Unnamed: 0,CAR,ATL
First Downs,23,15
Rush-Yds-TDs,38-229-2,15-26-0
Cmp-Att-Yd-TD-INT,16-25-180-2-0,24-37-225-1-1
Sacked-Yards,1-6,5-40
Net Pass Yards,174,185
Total Yards,403,211
Fumbles-Lost,0-0,3-3
Turnovers,0,4
Penalties-Yards,6-55,7-70
Third Down Conv.,7-13,5-12
Fourth Down Conv.,0-0,0-2
Time of Possession,35:08,24:52
