Unnamed: 0,TAM,WAS
First Downs,26,23
Rush-Yds-TDs,29-142-1,23-86-2
Cmp-Att-Yd-TD-INT,22-40-381-2-0,26-44-306-1-1
Sacked-Yards,3-16,2-17
Net Pass Yards,365,289
Total Yards,507,375
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,3-24,2-25
Third Down Conv.,6-14,7-14
Fourth Down Conv.,0-0,0-1
Time of Possession,31:12,28:48
