Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Dameon Pierce,HOU,12,46,0,1,12,1.0,34,2.8,1,12.0
Devin Singletary,HOU,10,30,0,1,6,0.6,24,2.4,4,2.5
Tank Dell,HOU,3,15,0,1,-2,-0.7,17,5.7,2,1.5
Andrew Beck,HOU,2,1,1,1,1,0.5,0,0.0,0,
C.J. Stroud,HOU,2,13,1,2,12,6.0,1,0.5,0,
Mike Boone,HOU,1,5,0,0,4,4.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Chuba Hubbard,CAR,15,28,0,2,10,0.7,18,1.2,2,7.5
Bryce Young,CAR,4,11,0,1,6,1.5,5,1.3,1,4.0
Raheem Blackshear,CAR,3,5,0,0,-1,-0.3,6,2.0,1,3.0
Miles Sanders,CAR,2,0,0,,-4,-2.0,4,2.0,0,
