Unnamed: 0,CHI,MIN
First Downs,18,15
Rush-Yds-TDs,28-118-0,17-73-0
Cmp-Att-Yd-TD-INT,27-37-217-0-0,22-32-185-1-4
Sacked-Yards,3-18,2-16
Net Pass Yards,199,169
Total Yards,317,242
Fumbles-Lost,3-2,2-0
Turnovers,2,4
Penalties-Yards,7-76,4-24
Third Down Conv.,8-18,2-9
Fourth Down Conv.,1-1,0-2
Time of Possession,35:50,24:10
