Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 70 yards, returned by Velus Jones for 28 yards (tackle by Kene Nwangwu)",0.000,0.480
1,14:55,1,10,CHI 23,0,0,Justin Fields pass complete short right to Cole Kmet for 1 yard (tackle by Danielle Hunter),0.480,0.070
1,14:17,2,9,CHI 24,0,0,Khalil Herbert left end for 8 yards (tackle by Ivan Pace and D.J. Wonnum),0.070,0.430
1,13:22,3,1,CHI 32,0,0,Justin Fields pass complete short right to D.J. Moore for 5 yards (tackle by Camryn Bynum),0.430,1.400
1,12:53,1,10,CHI 37,0,0,Khalil Herbert left tackle for 1 yard (tackle by Harrison Phillips),1.400,0.990
1,12:14,2,9,CHI 38,0,0,Justin Fields scrambles right end for 4 yards (tackle by D.J. Wonnum and Jonathan Bullard),0.990,0.830
1,11:30,3,5,CHI 42,0,0,Justin Fields pass complete short right to Cole Kmet for 5 yards (tackle by Josh Metellus),0.830,2.060
1,10:41,1,10,CHI 47,0,0,Justin Fields pass complete short right to Cole Kmet for 4 yards (tackle by Camryn Bynum),2.060,2.060
1,10:06,2,6,MIN 49,0,0,Justin Fields pass complete short left to D.J. Moore for 4 yards (tackle by Camryn Bynum),2.060,1.880
1,9:17,3,2,MIN 45,0,0,Justin Fields pass complete short left to Roschon Johnson for 6 yards (tackle by Ivan Pace),1.880,2.980
1,8:40,1,10,MIN 39,0,0,Justin Fields pass complete short right to Khalil Herbert for 13 yards (tackle by Byron Murphy),2.980,3.840
1,8:01,1,10,MIN 26,0,0,Khalil Herbert left guard for 2 yards (tackle by Danielle Hunter and Harrison Phillips),3.840,3.570
1,7:19,2,8,MIN 24,0,0,Justin Fields sacked by Ivan Pace for -5 yards,3.570,2.210
1,6:38,3,13,MIN 29,0,0,Justin Fields pass complete short middle to Cole Kmet for -1 yards (tackle by Danielle Hunter),2.210,1.410
1,5:58,4,14,MIN 30,0,0,Cairo Santos 48 yard field goal no good,1.410,-1.470
1,5:53,1,10,MIN 38,0,0,Joshua Dobbs pass incomplete deep middle intended for Jordan Addison (defended by Eddie Jackson),1.470,0.920
1,5:39,2,10,MIN 38,0,0,Ty Chandler left end for 1 yard (tackle by T.J. Edwards),0.920,0.370
1,5:07,3,9,MIN 39,0,0,Joshua Dobbs sacked by Montez Sweat for -8 yards,0.370,-1.310
1,4:21,4,17,MIN 31,0,0,"Ryan Wright punts 43 yards, returned by Trent Taylor for no gain (tackle by NaJee Thompson)",-1.310,-0.670
1,4:14,1,10,CHI 26,0,0,Justin Fields right end for 14 yards (tackle by Mekhi Blackmon),0.670,1.600
1,3:38,1,10,CHI 40,0,0,Justin Fields pass complete short left to Roschon Johnson for 22 yards (tackle by Mekhi Blackmon),1.600,3.050
1,2:56,1,10,MIN 38,0,0,Justin Fields sacked by and Josh Metellus for -12 yards and Danielle Hunter for -12 yards,3.050,0.890
1,2:09,2,22,MIN 50,0,0,"Penalty on CHI: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",0.890,0.210
