Quarter,Time,Tm,Detail,NYG,MIA
2.0,13:12,Giants,Graham Gano 39 yard field goal,3,0
,7:07,Dolphins,Jason Sanders 48 yard field goal,3,3
,0:26,Dolphins,Mack Hollins 5 yard pass from Tua Tagovailoa (Jason Sanders kick),3,10
3.0,10:29,Giants,Graham Gano 34 yard field goal,6,10
4.0,11:06,Dolphins,Isaiah Ford 2 yard pass from Tua Tagovailoa (Jason Sanders kick),6,17
,4:59,Giants,Graham Gano 51 yard field goal,9,17
,1:11,Dolphins,Jason Sanders 48 yard field goal,9,20
