Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,DEN 25,0,0,Russell Wilson pass incomplete short right,0.610,0.060
1,14:54,2,10,DEN 25,0,0,Russell Wilson pass complete short right to Nate Adkins for 3 yards (tackle by Keisean Nixon),0.060,-0.230
1,14:16,3,7,DEN 28,0,0,Russell Wilson pass complete deep right to Courtland Sutton for 33 yards (tackle by Carrington Valentine),-0.230,2.980
1,13:34,1,10,GNB 39,0,0,Javonte Williams up the middle for 1 yard (tackle by Kingsley Enagbare and Devonte Wyatt),2.980,2.580
1,12:55,2,9,GNB 38,0,0,Russell Wilson pass complete short right to Javonte Williams for 7 yards (tackle by Isaiah McDuffie),2.580,2.810
1,12:14,3,2,GNB 31,0,0,Russell Wilson pass complete short right to Courtland Sutton for 3 yards (tackle by Carrington Valentine),2.810,3.710
1,11:21,1,10,GNB 28,0,0,Javonte Williams up the middle for 15 yards (tackle by Isaiah McDuffie),3.710,4.710
1,10:40,1,10,GNB 13,0,0,Jaleel McLaughlin left tackle for 7 yards (tackle by Isaiah McDuffie),4.710,5.340
1,10:00,2,3,GNB 6,0,0,Jaleel McLaughlin right end for 2 yards (tackle by Rudy Ford and Rashan Gary),5.340,5.010
1,9:14,3,1,GNB 4,0,0,"Javonte Williams right tackle for no gain, touchdown. Penalty on Quinn Bailey: Offensive Holding, 10 yards (accepted) (no play)",5.010,3.080
1,9:10,3,11,GNB 14,0,0,Russell Wilson pass complete short right to Jaleel McLaughlin for 1 yard (tackle by Devonte Wyatt),3.080,2.570
1,8:30,4,10,GNB 13,0,3,Wil Lutz 32 yard field goal good,2.570,3.000
1,8:27,,,DEN 35,0,3,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,8:27,1,10,GNB 25,0,3,Aaron Jones right tackle for 4 yards (tackle by Alex Singleton),0.610,0.600
1,8:07,2,6,GNB 29,0,3,Aaron Jones left tackle for -1 yards (tackle by D.J. Jones),0.600,-0.230
1,7:27,3,7,GNB 28,0,3,Jordan Love pass complete short left to AJ Dillon for 5 yards (tackle by Kareem Jackson),-0.230,-1.180
1,6:48,4,2,GNB 33,0,3,"Daniel Whelan punts 59 yards, returned by Marvin Mims for 11 yards (tackle by Kingsley Enagbare)",-1.180,-0.150
1,6:35,1,10,DEN 19,0,3,Russell Wilson pass incomplete short left intended for Jaleel McLaughlin,0.150,-0.390
1,6:32,2,10,DEN 19,0,3,Javonte Williams right tackle for -1 yards (tackle by Quay Walker and Isaiah McDuffie),-0.390,-1.250
1,5:52,3,11,DEN 18,0,3,Russell Wilson pass complete short middle to Jerry Jeudy for 6 yards (tackle by Karl Brooks),-1.250,-1.770
1,5:22,4,5,DEN 24,0,3,"Riley Dixon punts 38 yards, fair catch by Jayden Reed at GB-38",-1.770,-1.470
1,5:15,1,10,GNB 38,0,3,Aaron Jones up the middle for 5 yards (tackle by D.J. Jones),1.470,1.600
1,4:37,2,5,GNB 43,0,3,Jordan Love pass complete short right to Luke Musgrave for 8 yards (tackle by Jonathon Cooper),1.600,2.320
1,4:09,1,10,DEN 49,0,3,AJ Dillon left guard for 2 yards (tackle by Jonathan Harris and Mike Purcell),2.320,2.050
1,3:30,2,8,DEN 47,0,3,Jordan Love pass complete short right to Luke Musgrave for 1 yard (tackle by Josey Jewell),2.050,1.490
1,2:46,3,7,DEN 46,0,3,"Jordan Love pass incomplete deep left intended for Jayden Reed (defended by Patrick Surtain). Penalty on Rasheed Walker: Offensive Facemask, 15 yards (declined)",1.490,0.200
1,2:40,4,7,DEN 46,0,3,"Penalty on Josh Myers: False Start, 5 yards (accepted) (no play)",0.200,-0.130
1,2:40,4,12,GNB 49,0,3,"Daniel Whelan punts 51 yards, touchback.",-0.130,-0.280
1,2:31,1,10,DEN 20,0,3,"Jaleel McLaughlin right tackle for 11 yards (tackle by Isaiah McDuffie). Penalty on Kenny Clark: Defensive Holding, 5 yards (accepted)",0.280,1.330
1,2:07,1,10,DEN 36,0,3,Russell Wilson pass complete short left to Courtland Sutton for 5 yards (tackle by Rasul Douglas),1.330,1.470
1,1:30,2,5,DEN 41,0,3,Javonte Williams right guard for 11 yards (tackle by Darnell Savage),1.470,2.390
1,0:49,1,10,GNB 48,0,3,Russell Wilson pass complete short left to Samaje Perine for 19 yards (tackle by Isaiah McDuffie and Rasul Douglas),2.390,3.640
1,0:08,1,10,GNB 29,0,3,Samaje Perine right guard for 5 yards (tackle by Isaiah McDuffie),3.640,3.780
Quarter,Time,Down,ToGo,Location,GNB,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,GNB 24,0,3,Russell Wilson pass incomplete deep right intended for Marvin Mims,3.780,3.070
2,14:52,3,5,GNB 24,0,3,Russell Wilson pass complete short middle to Courtland Sutton for 11 yards (tackle by Carrington Valentine),3.070,4.710
2,14:12,1,10,GNB 13,0,3,Javonte Williams right guard for 3 yards (tackle by Rudy Ford and Carrington Valentine),4.710,4.580
2,13:30,2,7,GNB 10,0,3,Russell Wilson pass incomplete short right,4.580,3.650
2,13:24,3,7,GNB 10,0,3,Russell Wilson pass incomplete short left,3.650,2.760
2,13:17,4,7,GNB 10,0,6,Wil Lutz 29 yard field goal good,2.760,3.000
2,13:14,,,DEN 35,0,6,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,13:14,1,10,GNB 25,0,6,"Aaron Jones left end for no gain (tackle by Alex Singleton). Penalty on Baron Browning: Defensive Offside, 5 yards (accepted) (no play)",0.610,1.340
2,12:49,1,5,GNB 30,0,6,Jordan Love pass incomplete short left intended for Luke Musgrave (defended by Kareem Jackson),1.340,0.740
2,12:46,2,5,GNB 30,0,6,Aaron Jones left guard for 3 yards (tackle by Josey Jewell and Mike Purcell),0.740,0.430
2,12:04,3,2,GNB 33,0,6,Jordan Love pass complete short middle to Christian Watson for 6 yards (tackle by Josey Jewell),0.430,1.530
2,11:20,1,10,GNB 39,0,6,Jordan Love pass complete short left to Christian Watson for -2 yards (tackle by Ronnie Perkins),1.530,0.720
2,10:55,2,12,GNB 37,0,6,Jordan Love pass complete short left to Samori Toure for 3 yards (tackle by Kareem Jackson and Alex Singleton),0.720,0.430
