Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
AJ Dillon,GNB,15,61,0,1,32,2.1,29,1.9,0,
Aaron Jones,GNB,8,35,0,2,24,3.0,11,1.4,0,
Jordan Love,GNB,3,21,0,1,17,5.7,4,1.3,0,
Emanuel Wilson,GNB,2,19,0,1,12,6.0,7,3.5,0,
Dontayvion Wicks,GNB,1,1,0,0,0,0.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Javonte Williams,DEN,15,82,0,4,36,2.4,46,3.1,2,7.5
Jaleel McLaughlin,DEN,5,45,0,1,33,6.6,12,2.4,0,
Samaje Perine,DEN,2,10,0,0,3,1.5,7,3.5,0,
Michael Burton,DEN,1,-2,0,,-2,-2.0,0,0.0,0,
Marvin Mims,DEN,1,-11,0,,-11,-11.0,0,0.0,0,
Russell Wilson,DEN,1,21,0,1,8,8.0,13,13.0,1,1.0
