Unnamed: 0,GNB,DEN
First Downs,20,18
Rush-Yds-TDs,29-137-0,25-145-0
Cmp-Att-Yd-TD-INT,22-32-194-2-1,20-29-194-1-0
Sacked-Yards,0-0,1-0
Net Pass Yards,194,194
Total Yards,331,339
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-56,8-60
Third Down Conv.,6-14,5-12
Fourth Down Conv.,2-2,0-1
Time of Possession,31:37,28:23
