Quarter,Time,Tm,Detail,OAK,IND
1.0,2:47,Colts,Reggie Wayne 12 yard pass from Andrew Luck (Adam Vinatieri kick),0,7
2.0,10:47,Colts,Dwayne Allen 20 yard pass from Andrew Luck (Adam Vinatieri kick),0,14
,4:53,Raiders,Darren McFadden 1 yard rush (Sebastian Janikowski kick),7,14
3.0,5:42,Raiders,Sebastian Janikowski 38 yard field goal,10,14
4.0,11:09,Raiders,Denarius Moore 5 yard pass from Terrelle Pryor (Sebastian Janikowski kick),17,14
,5:20,Colts,Andrew Luck 19 yard rush (Adam Vinatieri kick),17,21
