Unnamed: 0,OAK,IND
First Downs,20,18
Rush-Yds-TDs,33-171-1,26-127-1
Cmp-Att-Yd-TD-INT,19-29-217-1-2,18-23-178-2-0
Sacked-Yards,1-16,4-31
Net Pass Yards,201,147
Total Yards,372,274
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,8-51,3-31
Third Down Conv.,7-13,6-10
Fourth Down Conv.,1-1,0-1
Time of Possession,32:47,27:13
